name,type,x,y
345,84,12.469000000000001,51.371
346,84,12.517999999999999,51.156000000000006
347,84,12.477,50.753
348,84,12.812999999999999,50.858000000000004
349,84,13.002,50.86600000000001
350,84,13.382,51.356
351,84,13.841,50.99
352,84,14.219000000000001,51.121
353,84,14.949000000000002,51.062
354,84,14.51,51.413000000000004
355,84,14.47,51.553999999999995
356,84,14.604000000000001,52.174
357,84,14.427999999999999,51.888999999999996
358,84,13.902999999999999,51.873999999999995
359,81,14.034,53.508
360,81,14.270999999999999,53.096000000000004
361,81,13.494000000000002,52.59
362,81,13.71,52.54
363,81,13.524000000000001,52.535
364,81,13.505999999999998,52.474
365,81,13.304,52.231
366,81,13.206,52.657
367,81,13.210999999999999,52.581
368,81,12.940999999999999,52.562
369,81,13.457,52.522
370,81,13.369000000000002,52.503
371,81,13.249,52.531000000000006
372,81,12.5,52.405
373,81,11.644,51.909
374,81,11.562000000000001,52.123999999999995
375,81,11.638,52.269
376,23,10.999,52.2
377,23,10.369000000000002,52.167
378,23,10.421,52.236999999999995
379,23,10.369000000000002,52.285
380,23,10.235,52.293
381,23,10.088,52.31399999999999
382,23,9.918,52.382
383,23,9.821,52.424
384,23,9.917,52.278
385,23,9.522,52.36
386,23,9.125,52.538000000000004
387,23,8.939,52.403
388,23,8.959,52.278
389,23,10.383,52.993
390,71,8.402999999999999,52.608999999999995
391,71,8.309,52.346000000000004
392,71,7.309,52.476000000000006
393,22,7.277,52.753
394,22,7.195,52.87
395,22,7.312,53.126000000000005
396,22,7.254,53.026
397,23,9.145,52.853
398,22,8.564,53.032
399,22,8.696,53.093
400,22,9.25,53.114
401,22,8.82,53.107
402,22,8.519,53.203
403,22,8.408999999999999,53.19
404,22,8.475,53.428999999999995
405,22,8.052999999999999,53.333
406,22,8.086,53.606
407,22,8.122,53.56100000000001
408,22,7.224,53.35
409,22,7.207000000000001,53.342
410,82,9.776,53.691
411,23,10.379000000000001,53.22
412,82,10.413,53.413000000000004
413,22,9.502,53.543
414,82,9.908999999999999,53.488
415,82,10.158,53.555
416,81,11.37,53.601000000000006
417,81,13.685,54.138999999999996
418,81,13.079,54.285
419,81,13.142999999999999,53.908
420,81,12.187000000000001,53.816
421,81,12.213,54.111999999999995
422,81,12.13,54.141000000000005
423,21,10.640999999999998,53.919
424,21,10.761,53.909
425,21,10.802,53.896
426,22,9.53,53.619
427,82,9.988,53.766000000000005
428,82,9.984,53.74100000000001
429,21,9.344,53.852
430,21,9.202,53.895
431,21,9.449,53.968
432,21,9.345,53.922
433,21,10.177,54.34
434,21,10.156,54.276
435,21,10.061,54.349
436,21,9.725,54.29
437,21,9.317,54.716
438,93,8.337,47.571000000000005
440,71,7.747999999999999,52.288000000000004
3676,73,7.706,51.278999999999996
3006,96,7.507999999999999,47.65
25,75,6.796,49.333999999999996
29,91,6.178,49.953
439,22,7.257999999999999,52.981
444,72,6.587999999999999,51.284
445,74,7.03,50.751999999999995
446,72,6.523,51.323
447,74,7.007999999999999,50.688
449,74,8.686,50.218
455,22,8.423,53.232
463,76,10.054,48.313
464,75,6.797000000000001,49.335
466,73,7.831,51.754
