,demand
730,67220
731,66912
732,66988
733,66828
734,66772
735,66692
736,67056
737,67216
738,67688
739,68560
740,69264
741,69944
742,70232
743,70452
744,70008
745,69648
746,69576
747,69192
748,68676
749,67828
750,67284
751,66364
752,65064
753,64328
754,63252
755,62408
756,61640
757,61028
758,60356
759,59704
760,59460
761,58816
762,58248
763,57656
764,56436
765,55792
766,54956
767,54392
768,53028
769,52352
770,51776
771,51228
772,50760
773,50348
774,50200
775,49808
776,49196
777,48956
778,49076
779,49044
780,48940
781,48696
782,48456
783,48528
784,48752
785,48624
786,48644
787,48800
788,49076
789,48664
790,48588
791,48648
792,48796
793,48900
794,49120
795,49512
796,50304
797,50968
798,51448
799,52248
800,53208
801,53776
802,54824
803,55388
804,56436
805,57148
806,57540
807,58168
808,58632
809,59000
810,59280
811,59740
812,60204
813,60448
814,60960
815,61228
816,61188
817,61032
818,60824
819,60520
820,60232
821,59608
822,59436
823,59084
824,58824
825,58532
826,58356
827,58424
828,58428
829,57996
830,57940
831,58176
832,58656
833,58948
834,59556
835,60544
836,61740
837,62356
838,63004
839,63272
840,63476
841,63080
842,62676
843,62252
844,61604
845,60920
846,60436
847,59920
848,58792
849,58040
850,56736
851,56312
852,55600
853,55204
854,54764
855,54496
856,54720
857,54388
858,53692
859,53252
860,52400
861,52148
862,51464
863,50596
864,49700
865,49148
866,48600
867,48060
868,47464
869,47008
870,46396
871,46280
872,45932
873,45624
874,45648
875,45460
876,45168
877,45036
878,44992
879,45028
880,45180
881,45428
882,45608
883,45780
884,45624
885,45616
886,45592
887,45336
888,44960
889,44884
890,45136
891,45336
892,45996
893,46264
894,46828
895,47108
896,48252
897,48908
898,49920
899,50700
900,52060
901,52980
902,53732
903,54348
904,55148
905,55860
906,56104
907,56868
908,57784
909,58468
910,59164
911,59516
912,59552
913,59052
914,58716
915,58340
916,58324
917,57392
918,56912
919,56688
920,56296
921,56080
922,55972
923,55912
924,55928
925,55756
926,55972
927,56444
928,56872
929,57156
930,58268
931,59432
932,61124
933,62304
934,63144
935,63648
936,63640
937,63776
938,63576
939,63520
940,63004
941,62420
942,62184
943,61700
944,60788
945,60248
946,59308
947,58516
948,58884
949,58328
950,58048
951,58032
952,59080
953,58624
954,58280
955,57368
956,56252
957,55664
958,54948
959,54364
960,53936
961,53568
962,53196
963,52492
964,52240
965,52344
966,52116
967,51776
968,51928
969,51708
970,51844
971,51620
972,51480
973,51528
974,51428
975,51744
976,52164
977,52696
978,53000
979,53828
980,54944
981,55648
982,56868
983,58412
984,61396
985,62872
986,64784
987,66396
988,68560
989,70200
990,71492
991,72244
992,73052
993,73888
994,73952
995,74232
996,73952
997,74376
998,74928
999,74912
1000,75084
1001,75420
1002,75556
1003,75856
1004,76100
1005,76712
1006,77400
1007,77064
1008,77012
1009,77208
1010,76828
1011,76716
1012,76604
1013,76284
1014,75892
1015,75176
1016,74904
1017,74976
1018,74920
1019,74576
1020,75008
1021,74724
1022,74392
1023,74440
1024,74840
1025,74976
1026,75284
1027,76116
1028,76760
1029,77308
1030,77560
1031,77844
1032,77236
1033,77240
1034,76944
1035,76676
1036,76412
1037,75860
1038,75144
1039,74572
1040,73124
1041,72224
1042,71284
1043,70328
1044,69792
1045,68744
1046,68012
1047,67172
1048,67144
1049,66328
1050,65436
1051,64660
1052,63748
1053,62652
1054,62152
1055,61532
1056,60560
1057,59696
1058,59552
1059,59232
1060,58880
1061,58184
1062,57884
1063,57640
1064,57192
1065,57004
1066,56884
1067,56808
1068,56788
1069,56752
1070,57152
1071,56988
1072,57568
1073,57912
1074,58196
1075,58544
1076,59492
1077,60264
1078,61092
1079,62468
1080,64424
1081,65728
1082,67452
1083,69084
1084,70828
1085,72036
1086,72956
1087,73840
1088,74588
1089,74992
1090,74868
1091,74736
1092,74472
1093,74712
1094,75020
1095,74928
1096,74868
1097,74872
1098,75196
1099,75460
1100,75744
1101,76184
1102,76444
1103,76320
1104,76284
1105,76068
1106,76016
1107,76024
1108,75904
1109,75192
1110,74672
1111,74240
1112,73760
1113,73604
1114,73284
1115,73120
1116,72880
1117,72612
1118,71928
1119,71308
1120,71480
1121,71736
1122,72268
1123,72888
1124,74088
1125,74936
1126,75392
1127,75788
1128,75216
1129,74824
1130,74540
1131,74284
1132,74012
1133,73832
1134,73292
1135,72416
1136,71236
1137,70484
1138,69596
1139,68288
1140,67920
1141,67204
1142,66564
1143,65680
1144,65276
1145,64592
1146,63868
1147,63136
1148,62160
1149,61232
1150,60360
1151,59872
1152,59412
1153,58532
1154,58268
1155,58220
1156,57752
1157,57084
1158,56928
1159,56612
1160,56300
1161,56092
1162,56212
1163,56156
1164,56264
1165,56428
1166,56512
1167,56700
1168,56924
1169,57068
1170,57348
1171,57668
1172,58740
1173,59416
1174,60368
1175,61440
1176,63628
1177,64988
1178,66404
1179,67688
1180,69948
1181,71264
1182,72532
1183,73456
1184,74116
1185,74428
1186,74704
1187,74640
1188,74576
1189,74812
1190,75436
1191,75572
1192,75272
1193,75488
1194,75828
1195,76308
1196,76884
1197,77344
1198,78132
1199,78048
1200,77980
1201,77584
1202,77412
1203,77376
1204,77212
1205,76560
1206,75836
1207,75408
1208,75332
1209,75040
1210,74724
1211,74672
1212,74524
1213,74312
1214,74116
1215,73704
1216,73488
1217,73596
1218,74080
1219,74732
1220,75892
1221,76832
1222,76952
1223,76784
1224,76184
1225,75584
1226,75096
1227,74900
1228,74868
1229,74208
1230,73480
1231,72504
1232,71048
1233,70204
1234,69352
1235,68436
1236,67384
1237,66612
1238,66064
1239,65408
1240,65284
1241,64740
1242,64084
1243,63548
1244,62716
1245,61580
1246,61012
1247,60236
1248,59700
1249,58916
1250,58416
1251,57876
1252,57216
1253,56652
1254,56448
1255,56356
1256,55952
1257,55916
1258,55876
1259,55712
1260,55980
1261,56188
1262,56176
1263,56108
1264,56692
1265,56564
1266,56672
1267,57204
1268,58244
1269,58532
1270,59168
1271,60536
1272,62864
1273,64560
1274,65984
1275,67520
1276,69392
1277,70368
1278,71312
1279,72104
1280,72636
1281,73020
1282,73184
1283,73392
1284,73048
1285,73208
1286,73740
1287,73836
1288,73920
1289,73868
1290,74092
1291,74444
1292,74732
1293,74868
1294,75416
1295,75496
1296,75268
1297,75168
1298,75060
1299,75048
1300,74712
1301,74164
1302,73664
1303,72984
1304,72792
1305,72492
1306,72280
1307,72036
1308,72012
1309,71764
1310,71452
1311,71336
1312,71296
1313,71316
1314,71532
1315,72472
1316,73436
1317,73948
1318,74256
1319,74188
1320,73892
1321,73580
1322,73360
1323,72928
1324,72444
1325,72200
1326,71376
1327,70368
1328,69016
1329,68216
1330,67236
1331,66668
1332,65924
1333,65476
1334,64396
1335,63632
1336,63500
1337,62636
1338,61848
1339,61228
1340,60444
1341,59756
1342,59124
1343,58208
1344,57732
1345,57028
1346,56604
1347,55904
1348,55504
1349,55120
1350,54908
1351,54408
1352,53720
1353,53788
1354,53840
1355,53948
1356,53724
1357,53920
1358,54136
1359,54340
1360,54252
1361,54664
1362,55288
1363,55592
1364,56756
1365,57332
1366,57968
1367,59400
1368,61264
1369,62892
1370,64380
1371,65668
1372,67556
1373,68996
1374,70116
1375,71120
1376,71948
1377,72332
1378,72768
1379,72960
1380,72880
1381,72956
1382,73312
1383,73664
1384,73324
1385,73240
1386,73472
1387,73576
1388,73640
1389,73816
1390,74308
1391,74160
1392,74004
1393,73804
1394,73524
1395,73544
1396,73024
1397,72420
1398,72000
1399,71336
1400,70884
1401,71028
1402,70904
1403,70592
1404,70208
1405,70032
1406,69908
1407,69772
1408,69952
1409,69780
1410,70252
1411,70976
1412,72212
1413,72852
1414,73296
1415,73596
1416,73444
1417,72916
1418,72748
1419,72112
1420,71336
1421,70436
1422,69912
1423,69424
1424,67688
1425,66512
1426,65496
1427,64544
1428,63616
1429,63116
1430,62140
1431,61488
1432,61496
1433,61068
1434,60252
1435,59508
1436,58748
1437,58336
1438,57424
1439,56692
1440,55672
1441,55024
1442,54536
1443,54116
1444,53320
1445,52664
1446,52388
1447,52100
1448,51500
1449,51260
1450,51100
1451,50996
1452,50816
1453,50716
1454,50556
1455,50404
1456,50348
1457,50448
1458,50456
1459,50528
1460,50640
1461,50340
1462,50324
1463,50320
1464,50392
1465,50728
1466,51176
1467,51644
1468,52544
1469,53132
1470,54220
1471,54884
1472,55696
1473,56608
1474,57400
1475,58256
1476,59196
1477,59960
1478,60788
1479,61320
1480,61900
1481,62220
1482,62656
1483,63016
1484,63224
1485,63844
1486,64272
1487,64572
1488,64348
1489,64148
1490,64028
1491,63572
1492,63016
1493,62544
1494,62380
1495,61936
1496,61604
1497,61192
1498,61232
1499,60804
1500,61072
1501,60980
1502,60840
1503,60540
1504,60980
1505,61640
1506,62296
1507,63116
1508,64628
1509,65464
1510,66036
1511,66272
1512,66616
1513,66612
1514,65924
1515,65332
1516,64724
1517,63928
1518,63404
1519,62492
1520,61712
1521,60636
1522,59552
1523,58652
1524,57864
1525,57296
1526,56736
1527,56484
1528,57136
1529,56828
1530,56108
1531,55632
1532,54824
1533,54248
1534,53436
1535,52988
1536,52064
1537,51544
1538,50892
1539,50468
1540,49896
1541,49088
1542,48912
1543,48788
1544,48236
1545,47844
1546,47704
1547,47532
1548,47224
1549,47340
1550,47320
1551,47264
1552,47300
1553,47316
1554,47452
1555,47244
1556,47132
1557,46908
1558,46804
1559,46460
1560,46084
1561,45952
1562,46448
1563,46620
1564,47076
1565,47556
1566,48140
1567,48504
1568,49656
1569,50432
1570,51260
1571,52032
1572,53872
1573,54724
1574,55436
1575,56108
1576,56868
1577,57544
1578,58144
1579,58736
1580,59392
1581,60112
1582,60576
1583,60872
1584,60880
1585,60644
1586,60192
1587,59736
1588,59272
1589,58740
1590,58204
1591,57360
1592,57180
1593,56632
1594,56452
1595,56056
1596,56512
1597,56604
1598,56328
1599,56464
1600,56952
1601,57120
1602,57788
1603,58772
1604,60384
1605,61332
1606,62072
1607,62708
1608,62856
1609,62464
1610,62348
1611,62064
1612,61752
1613,60920
1614,60796
1615,60180
1616,59516
1617,59044
1618,58024
1619,57732
1620,57216
1621,56952
1622,56860
1623,57092
1624,57520
1625,57800
1626,57048
1627,56496
1628,55516
1629,54864
1630,54240
1631,53628
1632,52844
1633,52376
1634,51652
1635,51560
1636,51200
1637,51012
1638,50772
1639,50324
1640,50024
1641,49904
1642,49708
1643,49456
1644,49376
1645,49528
1646,49800
1647,49872
1648,50268
1649,50748
1650,51476
1651,52056
1652,53624
1653,54160
1654,55140
1655,56232
1656,59196
1657,61392
1658,63108
1659,64636
1660,66972
1661,68692
1662,69780
1663,70564
1664,71560
1665,72036
1666,72612
1667,73168
1668,72852
1669,73416
1670,73332
1671,73608
1672,73640
1673,73924
1674,74260
1675,74664
1676,74896
1677,75324
1678,75632
1679,75508
1680,75704
1681,75856
1682,75792
1683,75344
1684,75228
1685,74740
1686,74440
1687,73900
1688,73596
1689,73480
1690,73764
1691,73644
1692,73420
1693,73132
1694,72916
1695,72844
1696,73152
1697,73328
1698,73752
1699,74216
1700,74952
1701,75844
1702,76136
1703,76108
1704,75940
1705,75584
1706,75564
1707,74872
1708,74040
1709,73616
1710,73016
1711,72320
1712,71148
1713,70032
1714,68816
1715,67844
1716,66976
1717,66408
1718,65552
1719,64624
1720,64408
1721,63616
1722,62952
1723,61784
1724,60812
1725,59788
1726,59000
1727,58520
1728,57212
1729,56800
1730,56580
1731,55800
1732,55356
1733,54968
1734,54716
1735,54456
1736,54180
1737,54084
1738,53760
1739,53912
1740,54148
1741,54216
1742,54136
1743,54512
1744,54952
1745,55432
1746,56064
1747,56892
1748,57672
1749,58296
1750,59188
1751,60380
1752,62588
1753,64096
1754,65548
1755,67188
1756,69608
1757,70968
1758,71920
1759,73068
1760,74148
1761,74612
1762,74808
1763,75044
1764,75048
1765,75184
1766,75148
1767,75448
1768,75968
1769,76220
1770,76704
1771,76816
1772,77212
1773,77548
1774,78076
1775,78000
1776,78024
1777,77884
1778,77608
1779,77704
1780,77328
1781,76796
1782,75860
1783,75348
1784,75272
1785,75332
1786,74996
1787,74684
1788,74736
1789,74440
1790,73772
1791,73284
1792,73336
1793,73060
1794,73216
1795,73624
1796,74332
1797,75104
1798,75260
1799,75444
1800,75024
1801,74784
1802,74680
1803,74080
1804,73376
1805,72812
1806,72276
1807,71496
1808,70200
1809,69416
1810,68544
1811,67572
1812,67096
1813,67044
1814,65960
1815,65028
1816,64984
1817,64260
1818,63648
1819,62756
1820,61428
1821,60436
1822,59344
1823,58964
1824,57780
1825,57232
1826,56840
1827,55992
1828,55452
1829,54976
1830,54932
1831,54648
1832,54352
1833,54324
1834,54368
1835,54424
1836,54296
1837,54284
1838,54796
1839,55092
1840,55416
1841,55744
1842,56224
1843,56896
1844,58140
1845,58604
1846,59404
1847,60496
1848,62720
1849,64856
1850,66200
1851,67628
1852,69708
1853,71376
1854,72624
1855,73340
1856,73836
1857,74164
1858,74420
1859,74264
1860,73876
1861,74284
1862,74592
1863,74780
1864,74788
1865,74848
1866,75096
1867,75072
1868,74756
1869,75280
1870,75744
1871,75916
1872,76088
1873,75704
1874,75944
1875,75916
1876,75296
1877,74756
1878,73908
1879,73188
1880,73196
1881,72876
1882,72432
1883,72264
1884,72384
1885,71852
1886,71724
1887,71108
1888,71232
1889,70916
1890,71212
1891,71996
1892,73816
1893,74820
1894,75452
1895,75440
1896,75160
1897,75092
1898,75012
1899,75148
1900,74952
1901,74328
1902,73508
1903,72952
1904,71340
1905,70488
1906,69652
1907,68584
1908,67976
1909,67228
1910,66580
1911,65756
1912,65496
1913,64604
1914,63828
1915,62728
1916,62080
1917,61040
1918,60192
1919,59552
1920,58448
1921,57904
1922,57468
1923,56884
1924,56216
1925,55768
1926,55760
1927,55480
1928,55012
1929,54948
1930,54772
1931,54988
1932,54972
1933,54944
1934,55052
1935,55528
1936,55968
1937,56316
1938,56808
1939,57448
1940,58460
1941,59036
1942,60376
1943,61504
1944,63872
1945,65516
1946,67352
1947,68880
1948,70704
1949,71928
1950,73284
1951,73868
1952,74440
1953,74756
1954,75168
1955,75328
1956,74820
1957,75044
1958,75152
1959,74952
1960,74548
1961,74488
1962,74748
1963,74844
1964,75484
1965,75832
1966,76044
1967,76180
1968,75704
1969,75636
1970,75536
1971,75460
1972,74584
1973,73760
1974,73336
1975,72936
1976,72600
1977,72288
1978,71864
1979,71868
1980,72068
1981,71744
1982,71436
1983,71364
1984,71060
1985,71164
1986,71704
1987,72456
1988,74012
1989,74916
1990,75608
1991,75644
1992,75432
1993,75032
1994,74496
1995,74264
1996,73528
1997,72892
1998,72336
1999,71588
2000,70328
2001,69480
2002,68440
2003,67712
2004,66840
2005,66008
2006,65164
2007,64120
2008,63872
2009,63236
2010,62504
2011,61532
2012,60572
2013,59776
2014,58912
2015,58156
2016,57804
2017,57232
2018,56920
2019,56696
2020,55876
2021,55444
2022,54996
2023,54424
2024,54456
2025,54320
2026,54232
2027,54376
2028,54616
2029,54612
2030,54772
2031,55160
2032,55956
2033,56344
2034,56948
2035,57164
2036,58572
2037,58868
2038,59156
2039,60640
2040,62828
2041,64224
2042,65420
2043,66788
2044,69048
2045,70548
2046,71524
2047,72232
2048,73012
2049,73492
2050,73312
2051,73120
2052,72616
2053,72500
2054,72552
2055,72744
2056,72528
2057,72588
2058,72480
2059,72520
2060,72776
2061,73540
2062,73792
2063,73548
2064,72868
2065,72664
2066,72524
2067,72016
2068,71608
2069,71012
2070,70512
2071,70288
2072,69936
2073,68996
2074,68628
2075,68560
2076,68676
2077,68368
2078,68512
2079,68112
2080,68052
2081,68128
2082,68332
2083,69048
2084,70360
2085,71580
2086,72012
2087,72188
2088,72364
2089,71932
2090,71696
2091,71232
2092,70688
2093,70204
2094,69484
2095,68612
2096,67552
2097,66596
2098,65460
2099,64416
2100,63760
2101,62980
2102,61848
2103,61060
2104,60928
2105,60476
2106,59560
2107,58584
2108,57500
2109,56616
2110,55888
2111,55200
2112,53988
2113,53416
2114,52760
2115,52536
2116,51876
2117,51672
2118,51568
2119,51084
2120,50484
2121,49984
2122,49928
2123,49684
2124,49372
2125,49292
2126,49160
2127,48908
2128,48920
2129,48944
2130,48788
2131,48940
2132,49260
2133,49024
2134,48964
2135,48968
2136,49176
2137,49548
2138,49896
2139,50164
2140,51104
2141,52080
2142,52904
2143,53756
2144,54964
2145,55536
2146,56476
2147,57420
2148,58272
2149,59008
2150,59680
2151,60276
2152,60520
2153,60884
2154,61392
2155,61900
2156,62032
2157,62508
2158,63008
2159,63072
2160,62924
2161,62424
2162,62344
2163,62072
2164,61392
2165,60968
2166,60388
2167,59684
2168,59288
2169,58884
2170,58760
2171,58272
2172,58380
2173,58112
2174,57764
2175,57464
2176,57372
2177,57664
2178,58180
2179,58784
2180,60432
2181,61588
2182,62516
2183,62892
2184,63192
2185,63316
2186,63120
2187,62328
2188,61912
2189,61196
2190,60560
2191,59744
2192,58592
2193,57548
2194,56428
2195,55892
2196,55496
2197,54968
2198,54236
2199,53792
2200,54104
2201,53964
2202,53232
2203,52352
2204,51376
2205,50968
2206,49956
2207,49324
2208,48720
2209,47772
2210,47184
2211,46604
2212,46220
2213,45664
2214,45236
2215,44828
2216,45112
2217,45140
2218,45080
2219,45064
2220,45272
2221,44924
2222,44828
2223,45024
2224,45084
2225,44992
2226,44920
2227,45156
2228,45508
2229,45432
2230,45064
2231,44904
2232,44784
2233,44860
2234,44860
2235,44804
2236,45356
2237,45900
2238,46400
2239,47052
2240,47820
2241,48568
2242,49388
2243,50284
2244,51372
2245,52512
2246,53392
2247,54300
2248,54688
2249,55436
2250,56048
2251,56620
2252,57472
2253,58264
2254,58780
2255,58880
2256,58852
2257,58768
2258,58764
2259,58264
2260,57488
2261,57116
2262,56464
2263,55712
2264,55420
2265,55276
2266,55072
2267,54680
2268,54832
2269,54848
2270,54744
2271,54772
2272,54836
2273,55032
2274,55504
2275,56048
2276,57676
2277,59452
2278,60576
2279,60940
2280,61760
2281,61476
2282,61000
2283,60620
2284,59976
2285,59368
2286,58736
2287,58196
2288,57432
2289,56644
2290,55848
2291,55164
2292,55268
2293,54968
2294,54544
2295,54628
2296,55596
2297,55376
2298,54968
2299,54220
2300,53892
2301,53288
2302,52904
2303,52128
2304,51576
2305,51212
2306,50880
2307,50368
2308,49892
2309,49484
2310,49624
2311,48976
2312,49208
2313,48860
2314,48868
2315,48744
2316,48672
2317,48712
2318,49036
2319,48964
2320,49696
2321,50152
2322,50704
2323,50960
2324,52368
2325,52832
2326,54068
2327,55808
2328,58368
2329,60100
2330,61600
2331,64124
2332,66660
2333,67784
2334,69012
2335,69500
2336,70172
2337,70660
2338,71188
2339,71436
2340,71044
2341,71216
2342,71492
2343,71572
2344,71540
2345,71888
2346,72232
2347,72544
2348,72688
2349,73084
2350,73196
2351,73336
2352,73268
2353,73180
2354,73180
2355,72904
2356,72532
2357,72072
2358,71608
2359,71280
2360,70908
2361,70816
2362,70672
2363,70384
2364,70608
2365,70112
2366,70164
2367,69644
2368,69428
2369,69440
2370,69348
2371,69840
2372,71004
2373,72220
2374,73272
2375,73588
2376,73348
2377,73320
2378,73264
2379,73008
2380,72476
2381,72060
2382,71400
2383,70448
2384,69532
2385,68788
2386,67692
2387,66776
2388,66260
2389,65468
2390,64716
2391,64412
2392,64172
2393,63736
2394,62700
2395,61852
2396,60848
2397,60048
2398,59348
2399,58828
2400,58264
2401,57856
2402,57928
2403,57200
2404,56292
2405,55972
2406,55608
2407,55380
2408,54624
2409,54276
2410,54252
2411,54220
2412,54368
2413,54192
2414,54396
2415,54848
2416,55276
2417,55660
2418,55964
2419,56512
2420,57744
2421,58236
2422,58724
2423,59736
2424,61828
2425,63576
2426,64912
2427,66456
2428,68888
2429,69720
2430,70968
2431,71752
2432,72452
2433,72844
2434,73204
2435,73268
2436,72984
2437,73168
2438,73304
2439,73240
2440,73492
2441,73972
2442,74248
2443,74672
2444,74740
2445,75432
2446,75564
2447,75544
2448,75028
2449,75212
2450,75044
2451,74708
2452,74236
2453,74040
2454,73524
2455,72676
2456,72308
2457,72176
2458,72064
2459,71844
2460,71660
2461,71380
2462,71216
2463,70620
2464,70924
2465,70860
2466,71024
2467,71380
2468,72220
2469,73496
2470,74480
2471,75200
2472,75300
2473,74968
2474,74612
2475,74312
2476,73508
2477,72884
2478,72244
2479,71880
2480,70620
2481,69720
2482,68968
2483,68432
2484,67548
2485,66912
2486,65916
2487,65064
2488,65052
2489,64408
2490,63556
2491,62604
2492,61100
2493,60220
2494,59604
2495,58632
2496,58476
2497,57684
