tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
59,0.9,1.6,9.52,24.9,33.39,20.7,8.07
60,0.9,1.6,9.52,24.9,33.39,20.7,8.07
61,0.9,1.6,9.52,24.9,33.39,20.7,8.07
62,0.9,1.6,9.52,24.9,33.39,20.7,8.07
63,0.9,1.6,9.52,24.9,33.39,20.7,8.07
64,0.9,1.6,9.52,24.9,33.39,20.7,8.07
65,0.9,1.6,9.52,24.9,33.39,20.7,8.07
66,0.9,1.6,9.52,24.9,33.39,20.7,8.07
67,0.9,1.6,9.52,24.9,33.39,20.7,8.07
68,0.9,1.6,9.52,24.9,33.39,20.7,8.07
69,0.9,1.6,9.52,24.9,33.39,20.7,8.07
70,0.9,1.6,9.52,24.9,33.39,20.7,8.07
71,0.9,1.6,9.52,24.9,33.39,20.7,8.07
72,0.9,1.6,9.52,24.9,33.39,20.7,8.07
73,0.9,1.6,9.52,24.9,33.39,20.7,8.07
74,0.9,1.6,9.52,24.9,33.39,20.7,8.07
75,0.9,1.6,9.52,24.9,33.39,20.7,8.07
76,0.9,1.6,9.52,24.9,33.39,20.7,8.07
77,0.9,1.6,9.52,24.9,33.39,20.7,8.07
78,0.9,1.6,9.52,24.9,33.39,20.7,8.07
79,0.9,1.6,9.52,24.9,33.39,20.7,8.07
80,0.9,1.6,9.52,24.9,33.39,20.7,8.07
81,0.9,1.6,9.52,24.9,33.39,20.7,8.07
82,0.9,1.6,9.52,24.9,33.39,20.7,8.07
83,0.9,1.6,9.52,24.9,33.39,20.7,8.07
84,0.9,1.6,9.52,24.9,33.39,20.7,8.07
85,0.9,1.6,9.52,24.9,33.39,20.7,8.07
86,0.9,1.6,9.52,24.9,33.39,20.7,8.07
87,0.9,1.6,9.52,24.9,33.39,20.7,8.07
88,0.9,1.6,9.52,24.9,33.39,20.7,8.07
89,0.9,1.6,9.52,24.9,33.39,20.7,8.07
90,0.9,1.6,9.52,24.9,33.39,20.7,8.07
91,0.9,1.6,9.52,24.9,33.39,20.7,8.07
92,0.9,1.6,9.52,24.9,33.39,20.7,8.07
93,0.9,1.6,9.52,24.9,33.39,20.7,8.07
94,0.9,1.6,9.52,24.9,33.39,20.7,8.07
95,0.9,1.6,9.52,24.9,33.39,20.7,8.07
96,0.9,1.6,9.64,25.26,33.39,20.7,8.07
97,0.9,1.6,9.64,25.26,33.39,20.7,8.07
98,0.9,1.6,9.64,25.26,33.39,20.7,8.07
99,0.9,1.6,9.64,25.26,33.39,20.7,8.07
100,0.9,1.6,9.64,25.26,33.39,20.7,8.07
101,0.9,1.6,9.64,25.26,33.39,20.7,8.07
102,0.9,1.6,9.64,25.26,33.39,20.7,8.07
103,0.9,1.6,9.64,25.26,33.39,20.7,8.07
104,0.9,1.6,9.64,25.26,33.39,20.7,8.07
105,0.9,1.6,9.64,25.26,33.39,20.7,8.07
106,0.9,1.6,9.64,25.26,33.39,20.7,8.07
107,0.9,1.6,9.64,25.26,33.39,20.7,8.07
108,0.9,1.6,9.64,25.26,33.39,20.7,8.07
109,0.9,1.6,9.64,25.26,33.39,20.7,8.07
110,0.9,1.6,9.64,25.26,33.39,20.7,8.07
111,0.9,1.6,9.64,25.26,33.39,20.7,8.07
112,0.9,1.6,9.64,25.26,33.39,20.7,8.07
113,0.9,1.6,9.64,25.26,33.39,20.7,8.07
114,0.9,1.6,9.64,25.26,33.39,20.7,8.07
115,0.9,1.6,9.64,25.26,33.39,20.7,8.07
116,0.9,1.6,9.64,25.26,33.39,20.7,8.07
117,0.9,1.6,9.64,25.26,33.39,20.7,8.07
118,0.9,1.6,9.64,25.26,33.39,20.7,8.07
119,0.9,1.6,9.64,25.26,33.39,20.7,8.07
120,0.9,1.6,9.64,25.26,33.39,20.7,8.07
121,0.9,1.6,9.64,25.26,33.39,20.7,8.07
122,0.9,1.6,9.64,25.26,33.39,20.7,8.07
123,0.9,1.6,9.64,25.26,33.39,20.7,8.07
124,0.9,1.6,9.64,25.26,33.39,20.7,8.07
125,0.9,1.6,9.64,25.26,33.39,20.7,8.07
126,0.9,1.6,9.64,25.26,33.39,20.7,8.07
127,0.9,1.6,9.64,25.26,33.39,20.7,8.07
128,0.9,1.6,9.64,25.26,33.39,20.7,8.07
129,0.9,1.6,9.64,25.26,33.39,20.7,8.07
130,0.9,1.6,9.64,25.26,33.39,20.7,8.07
131,0.9,1.6,9.64,25.26,33.39,20.7,8.07
132,0.9,1.6,9.64,25.26,33.39,20.7,8.07
133,0.9,1.6,9.64,25.26,33.39,20.7,8.07
134,0.9,1.6,9.64,25.26,33.39,20.7,8.07
135,0.9,1.6,9.64,25.26,33.39,20.7,8.07
136,0.9,1.6,9.64,25.26,33.39,20.7,8.07
137,0.9,1.6,9.64,25.26,33.39,20.7,8.07
138,0.9,1.6,9.64,25.26,33.39,20.7,8.07
139,0.9,1.6,9.64,25.26,33.39,20.7,8.07
140,0.9,1.6,9.64,25.26,33.39,20.7,8.07
141,0.9,1.6,9.64,25.26,33.39,20.7,8.07
142,0.9,1.6,9.64,25.26,33.39,20.7,8.07
143,0.9,1.6,9.64,25.26,33.39,20.7,8.07
144,0.9,1.6,9.64,25.26,33.39,20.7,8.07
145,0.9,1.6,9.64,25.26,33.39,20.7,8.07
146,0.9,1.6,9.64,25.26,33.39,20.7,8.07
147,0.9,1.6,9.64,25.26,33.39,20.7,8.07
148,0.9,1.6,9.64,25.26,33.39,20.7,8.07
149,0.9,1.6,9.64,25.26,33.39,20.7,8.07
150,0.9,1.6,9.64,25.26,33.39,20.7,8.07
151,0.9,1.6,9.64,25.26,33.39,20.7,8.07
152,0.9,1.6,9.64,25.26,33.39,20.7,8.07
153,0.9,1.6,9.64,25.26,33.39,20.7,8.07
154,0.9,1.6,9.64,25.26,33.39,20.7,8.07
155,0.9,1.6,9.64,25.26,33.39,20.7,8.07
156,0.9,1.6,9.64,25.26,33.39,20.7,8.07
157,0.9,1.6,9.64,25.26,33.39,20.7,8.07
158,0.9,1.6,9.64,25.26,33.39,20.7,8.07
159,0.9,1.6,9.64,25.26,33.39,20.7,8.07
160,0.9,1.6,9.64,25.26,33.39,20.7,8.07
161,0.9,1.6,9.64,25.26,33.39,20.7,8.07
162,0.9,1.6,9.64,25.26,33.39,20.7,8.07
163,0.9,1.6,9.64,25.26,33.39,20.7,8.07
164,0.9,1.6,9.64,25.26,33.39,20.7,8.07
165,0.9,1.6,9.64,25.26,33.39,20.7,8.07
166,0.9,1.6,9.64,25.26,33.39,20.7,8.07
167,0.9,1.6,9.64,25.26,33.39,20.7,8.07
168,0.9,1.6,9.64,25.26,33.39,20.7,8.07
169,0.9,1.6,9.64,25.26,33.39,20.7,8.07
170,0.9,1.6,9.64,25.26,33.39,20.7,8.07
171,0.9,1.6,9.64,25.26,33.39,20.7,8.07
172,0.9,1.6,9.64,25.26,33.39,20.7,8.07
173,0.9,1.6,9.64,25.26,33.39,20.7,8.07
174,0.9,1.6,9.64,25.26,33.39,20.7,8.07
175,0.9,1.6,9.64,25.26,33.39,20.7,8.07
176,0.9,1.6,9.64,25.26,33.39,20.7,8.07
177,0.9,1.6,9.64,25.26,33.39,20.7,8.07
178,0.9,1.6,9.64,25.26,33.39,20.7,8.07
179,0.9,1.6,9.64,25.26,33.39,20.7,8.07
180,0.9,1.6,9.64,25.26,33.39,20.7,8.07
181,0.9,1.6,9.64,25.26,33.39,20.7,8.07
182,0.9,1.6,9.64,25.26,33.39,20.7,8.07
183,0.9,1.6,9.64,25.26,33.39,20.7,8.07
184,0.9,1.6,9.64,25.26,33.39,20.7,8.07
185,0.9,1.6,9.64,25.26,33.39,20.7,8.07
186,0.9,1.6,9.64,25.26,33.39,20.7,8.07
187,0.9,1.6,9.64,25.26,33.39,20.7,8.07
188,0.9,1.6,9.64,25.26,33.39,20.7,8.07
189,0.9,1.6,9.64,25.26,33.39,20.7,8.07
190,0.9,1.6,9.64,25.26,33.39,20.7,8.07
191,0.9,1.6,9.64,25.26,33.39,20.7,8.07
192,0.9,1.6,9.68,24.65,33.65,20.7,8.07
193,0.9,1.6,9.68,24.65,33.65,20.7,8.07
194,0.9,1.6,9.68,24.65,33.65,20.7,8.07
195,0.9,1.6,9.68,24.65,33.65,20.7,8.07
196,0.9,1.6,9.68,24.65,33.65,20.7,8.07
197,0.9,1.6,9.68,24.65,33.65,20.7,8.07
198,0.9,1.6,9.68,24.65,33.65,20.7,8.07
199,0.9,1.6,9.68,24.65,33.65,20.7,8.07
200,0.9,1.6,9.68,24.65,33.65,20.7,8.07
201,0.9,1.6,9.68,24.65,33.65,20.7,8.07
202,0.9,1.6,9.68,24.65,33.65,20.7,8.07
203,0.9,1.6,9.68,24.65,33.65,20.7,8.07
204,0.9,1.6,9.68,24.65,33.65,20.7,8.07
205,0.9,1.6,9.68,24.65,33.65,20.7,8.07
206,0.9,1.6,9.68,24.65,33.65,20.7,8.07
207,0.9,1.6,9.68,24.65,33.65,20.7,8.07
208,0.9,1.6,9.68,24.65,33.65,20.7,8.07
209,0.9,1.6,9.68,24.65,33.65,20.7,8.07
210,0.9,1.6,9.68,24.65,33.65,20.7,8.07
211,0.9,1.6,9.68,24.65,33.65,20.7,8.07
212,0.9,1.6,9.68,24.65,33.65,20.7,8.07
213,0.9,1.6,9.68,24.65,33.65,20.7,8.07
214,0.9,1.6,9.68,24.65,33.65,20.7,8.07
215,0.9,1.6,9.68,24.65,33.65,20.7,8.07
216,0.9,1.6,9.68,24.65,33.65,20.7,8.07
217,0.9,1.6,9.68,24.65,33.65,20.7,8.07
218,0.9,1.6,9.68,24.65,33.65,20.7,8.07
219,0.9,1.6,9.68,24.65,33.65,20.7,8.07
220,0.9,1.6,9.68,24.65,33.65,20.7,8.07
221,0.9,1.6,9.68,24.65,33.65,20.7,8.07
222,0.9,1.6,9.68,24.65,33.65,20.7,8.07
223,0.9,1.6,9.68,24.65,33.65,20.7,8.07
224,0.9,1.6,9.68,24.65,33.65,20.7,8.07
225,0.9,1.6,9.68,24.65,33.65,20.7,8.07
226,0.9,1.6,9.68,24.65,33.65,20.7,8.07
227,0.9,1.6,9.68,24.65,33.65,20.7,8.07
228,0.9,1.6,9.68,24.65,33.65,20.7,8.07
229,0.9,1.6,9.68,24.65,33.65,20.7,8.07
230,0.9,1.6,9.68,24.65,33.65,20.7,8.07
231,0.9,1.6,9.68,24.65,33.65,20.7,8.07
232,0.9,1.6,9.68,24.65,33.65,20.7,8.07
233,0.9,1.6,9.68,24.65,33.65,20.7,8.07
234,0.9,1.6,9.68,24.65,33.65,20.7,8.07
235,0.9,1.6,9.68,24.65,33.65,20.7,8.07
236,0.9,1.6,9.68,24.65,33.65,20.7,8.07
237,0.9,1.6,9.68,24.65,33.65,20.7,8.07
238,0.9,1.6,9.68,24.65,33.65,20.7,8.07
239,0.9,1.6,9.68,24.65,33.65,20.7,8.07
240,0.9,1.6,9.68,24.65,33.65,20.7,8.07
241,0.9,1.6,9.68,24.65,33.65,20.7,8.07
242,0.9,1.6,9.68,24.65,33.65,20.7,8.07
243,0.9,1.6,9.68,24.65,33.65,20.7,8.07
244,0.9,1.6,9.68,24.65,33.65,20.7,8.07
245,0.9,1.6,9.68,24.65,33.65,20.7,8.07
246,0.9,1.6,9.68,24.65,33.65,20.7,8.07
247,0.9,1.6,9.68,24.65,33.65,20.7,8.07
248,0.9,1.6,9.68,24.65,33.65,20.7,8.07
249,0.9,1.6,9.68,24.65,33.65,20.7,8.07
250,0.9,1.6,9.68,24.65,33.65,20.7,8.07
251,0.9,1.6,9.68,24.65,33.65,20.7,8.07
252,0.9,1.6,9.68,24.65,33.65,20.7,8.07
253,0.9,1.6,9.68,24.65,33.65,20.7,8.07
254,0.9,1.6,9.68,24.65,33.65,20.7,8.07
255,0.9,1.6,9.68,24.65,33.65,20.7,8.07
256,0.9,1.6,9.68,24.65,33.65,20.7,8.07
257,0.9,1.6,9.68,24.65,33.65,20.7,8.07
258,0.9,1.6,9.68,24.65,33.65,20.7,8.07
259,0.9,1.6,9.68,24.65,33.65,20.7,8.07
260,0.9,1.6,9.68,24.65,33.65,20.7,8.07
261,0.9,1.6,9.68,24.65,33.65,20.7,8.07
262,0.9,1.6,9.68,24.65,33.65,20.7,8.07
263,0.9,1.6,9.68,24.65,33.65,20.7,8.07
264,0.9,1.6,9.68,24.65,33.65,20.7,8.07
265,0.9,1.6,9.68,24.65,33.65,20.7,8.07
266,0.9,1.6,9.68,24.65,33.65,20.7,8.07
267,0.9,1.6,9.68,24.65,33.65,20.7,8.07
268,0.9,1.6,9.68,24.65,33.65,20.7,8.07
269,0.9,1.6,9.68,24.65,33.65,20.7,8.07
270,0.9,1.6,9.68,24.65,33.65,20.7,8.07
271,0.9,1.6,9.68,24.65,33.65,20.7,8.07
272,0.9,1.6,9.68,24.65,33.65,20.7,8.07
273,0.9,1.6,9.68,24.65,33.65,20.7,8.07
274,0.9,1.6,9.68,24.65,33.65,20.7,8.07
275,0.9,1.6,9.68,24.65,33.65,20.7,8.07
276,0.9,1.6,9.68,24.65,33.65,20.7,8.07
277,0.9,1.6,9.68,24.65,33.65,20.7,8.07
278,0.9,1.6,9.68,24.65,33.65,20.7,8.07
279,0.9,1.6,9.68,24.65,33.65,20.7,8.07
280,0.9,1.6,9.68,24.65,33.65,20.7,8.07
281,0.9,1.6,9.68,24.65,33.65,20.7,8.07
282,0.9,1.6,9.68,24.65,33.65,20.7,8.07
283,0.9,1.6,9.68,24.65,33.65,20.7,8.07
284,0.9,1.6,9.68,24.65,33.65,20.7,8.07
285,0.9,1.6,9.68,24.65,33.65,20.7,8.07
286,0.9,1.6,9.68,24.65,33.65,20.7,8.07
287,0.9,1.6,9.68,24.65,33.65,20.7,8.07
288,0.9,1.6,9.66,23.86,33.93,20.7,8.07
289,0.9,1.6,9.66,23.86,33.93,20.7,8.07
290,0.9,1.6,9.66,23.86,33.93,20.7,8.07
291,0.9,1.6,9.66,23.86,33.93,20.7,8.07
292,0.9,1.6,9.66,23.86,33.93,20.7,8.07
293,0.9,1.6,9.66,23.86,33.93,20.7,8.07
294,0.9,1.6,9.66,23.86,33.93,20.7,8.07
295,0.9,1.6,9.66,23.86,33.93,20.7,8.07
296,0.9,1.6,9.66,23.86,33.93,20.7,8.07
297,0.9,1.6,9.66,23.86,33.93,20.7,8.07
298,0.9,1.6,9.66,23.86,33.93,20.7,8.07
299,0.9,1.6,9.66,23.86,33.93,20.7,8.07
300,0.9,1.6,9.66,23.86,33.93,20.7,8.07
301,0.9,1.6,9.66,23.86,33.93,20.7,8.07
302,0.9,1.6,9.66,23.86,33.93,20.7,8.07
303,0.9,1.6,9.66,23.86,33.93,20.7,8.07
304,0.9,1.6,9.66,23.86,33.93,20.7,8.07
305,0.9,1.6,9.66,23.86,33.93,20.7,8.07
306,0.9,1.6,9.66,23.86,33.93,20.7,8.07
307,0.9,1.6,9.66,23.86,33.93,20.7,8.07
308,0.9,1.6,9.66,23.86,33.93,20.7,8.07
309,0.9,1.6,9.66,23.86,33.93,20.7,8.07
310,0.9,1.6,9.66,23.86,33.93,20.7,8.07
311,0.9,1.6,9.66,23.86,33.93,20.7,8.07
312,0.9,1.6,9.66,23.86,33.93,20.7,8.07
313,0.9,1.6,9.66,23.86,33.93,20.7,8.07
314,0.9,1.6,9.66,23.86,33.93,20.7,8.07
315,0.9,1.6,9.66,23.86,33.93,20.7,8.07
316,0.9,1.6,9.66,23.86,33.93,20.7,8.07
317,0.9,1.6,9.66,23.86,33.93,20.7,8.07
318,0.9,1.6,9.66,23.86,33.93,20.7,8.07
319,0.9,1.6,9.66,23.86,33.93,20.7,8.07
320,0.9,1.6,9.66,23.86,33.93,20.7,8.07
321,0.9,1.6,9.66,23.86,33.93,20.7,8.07
322,0.9,1.6,9.66,23.86,33.93,20.7,8.07
323,0.9,1.6,9.66,23.86,33.93,20.7,8.07
324,0.9,1.6,9.66,23.86,33.93,20.7,8.07
325,0.9,1.6,9.66,23.86,33.93,20.7,8.07
326,0.9,1.6,9.66,23.86,33.93,20.7,8.07
327,0.9,1.6,9.66,23.86,33.93,20.7,8.07
328,0.9,1.6,9.66,23.86,33.93,20.7,8.07
329,0.9,1.6,9.66,23.86,33.93,20.7,8.07
330,0.9,1.6,9.66,23.86,33.93,20.7,8.07
331,0.9,1.6,9.66,23.86,33.93,20.7,8.07
332,0.9,1.6,9.66,23.86,33.93,20.7,8.07
333,0.9,1.6,9.66,23.86,33.93,20.7,8.07
334,0.9,1.6,9.66,23.86,33.93,20.7,8.07
335,0.9,1.6,9.66,23.86,33.93,20.7,8.07
336,0.9,1.6,9.66,23.86,33.93,20.7,8.07
337,0.9,1.6,9.66,23.86,33.93,20.7,8.07
338,0.9,1.6,9.66,23.86,33.93,20.7,8.07
339,0.9,1.6,9.66,23.86,33.93,20.7,8.07
340,0.9,1.6,9.66,23.86,33.93,20.7,8.07
341,0.9,1.6,9.66,23.86,33.93,20.7,8.07
342,0.9,1.6,9.66,23.86,33.93,20.7,8.07
343,0.9,1.6,9.66,23.86,33.93,20.7,8.07
344,0.9,1.6,9.66,23.86,33.93,20.7,8.07
345,0.9,1.6,9.66,23.86,33.93,20.7,8.07
346,0.9,1.6,9.66,23.86,33.93,20.7,8.07
347,0.9,1.6,9.66,23.86,33.93,20.7,8.07
348,0.9,1.6,9.66,23.86,33.93,20.7,8.07
349,0.9,1.6,9.66,23.86,33.93,20.7,8.07
350,0.9,1.6,9.66,23.86,33.93,20.7,8.07
351,0.9,1.6,9.66,23.86,33.93,20.7,8.07
352,0.9,1.6,9.66,23.86,33.93,20.7,8.07
353,0.9,1.6,9.66,23.86,33.93,20.7,8.07
354,0.9,1.6,9.66,23.86,33.93,20.7,8.07
355,0.9,1.6,9.66,23.86,33.93,20.7,8.07
356,0.9,1.6,9.66,23.86,33.93,20.7,8.07
357,0.9,1.6,9.66,23.86,33.93,20.7,8.07
358,0.9,1.6,9.66,23.86,33.93,20.7,8.07
359,0.9,1.6,9.66,23.86,33.93,20.7,8.07
360,0.9,1.6,9.66,23.86,33.93,20.7,8.07
361,0.9,1.6,9.66,23.86,33.93,20.7,8.07
362,0.9,1.6,9.66,23.86,33.93,20.7,8.07
363,0.9,1.6,9.66,23.86,33.93,20.7,8.07
364,0.9,1.6,9.66,23.86,33.93,20.7,8.07
365,0.9,1.6,9.66,23.86,33.93,20.7,8.07
366,0.9,1.6,9.66,23.86,33.93,20.7,8.07
367,0.9,1.6,9.66,23.86,33.93,20.7,8.07
368,0.9,1.6,9.66,23.86,33.93,20.7,8.07
369,0.9,1.6,9.66,23.86,33.93,20.7,8.07
370,0.9,1.6,9.66,23.86,33.93,20.7,8.07
371,0.9,1.6,9.66,23.86,33.93,20.7,8.07
372,0.9,1.6,9.66,23.86,33.93,20.7,8.07
373,0.9,1.6,9.66,23.86,33.93,20.7,8.07
374,0.9,1.6,9.66,23.86,33.93,20.7,8.07
375,0.9,1.6,9.66,23.86,33.93,20.7,8.07
376,0.9,1.6,9.66,23.86,33.93,20.7,8.07
377,0.9,1.6,9.66,23.86,33.93,20.7,8.07
378,0.9,1.6,9.66,23.86,33.93,20.7,8.07
379,0.9,1.6,9.66,23.86,33.93,20.7,8.07
380,0.9,1.6,9.66,23.86,33.93,20.7,8.07
381,0.9,1.6,9.66,23.86,33.93,20.7,8.07
382,0.9,1.6,9.66,23.86,33.93,20.7,8.07
383,0.9,1.6,9.66,23.86,33.93,20.7,8.07
384,0.9,1.6,9.59,24.08,33.89,20.7,8.07
385,0.9,1.6,9.59,24.08,33.89,20.7,8.07
386,0.9,1.6,9.59,24.08,33.89,20.7,8.07
387,0.9,1.6,9.59,24.08,33.89,20.7,8.07
388,0.9,1.6,9.59,24.08,33.89,20.7,8.07
389,0.9,1.6,9.59,24.08,33.89,20.7,8.07
390,0.9,1.6,9.59,24.08,33.89,20.7,8.07
391,0.9,1.6,9.59,24.08,33.89,20.7,8.07
392,0.9,1.6,9.59,24.08,33.89,20.7,8.07
393,0.9,1.6,9.59,24.08,33.89,20.7,8.07
394,0.9,1.6,9.59,24.08,33.89,20.7,8.07
395,0.9,1.6,9.59,24.08,33.89,20.7,8.07
396,0.9,1.6,9.59,24.08,33.89,20.7,8.07
397,0.9,1.6,9.59,24.08,33.89,20.7,8.07
398,0.9,1.6,9.59,24.08,33.89,20.7,8.07
399,0.9,1.6,9.59,24.08,33.89,20.7,8.07
400,0.9,1.6,9.59,24.08,33.89,20.7,8.07
401,0.9,1.6,9.59,24.08,33.89,20.7,8.07
402,0.9,1.6,9.59,24.08,33.89,20.7,8.07
403,0.9,1.6,9.59,24.08,33.89,20.7,8.07
404,0.9,1.6,9.59,24.08,33.89,20.7,8.07
405,0.9,1.6,9.59,24.08,33.89,20.7,8.07
406,0.9,1.6,9.59,24.08,33.89,20.7,8.07
407,0.9,1.6,9.59,24.08,33.89,20.7,8.07
408,0.9,1.6,9.59,24.08,33.89,20.7,8.07
409,0.9,1.6,9.59,24.08,33.89,20.7,8.07
410,0.9,1.6,9.59,24.08,33.89,20.7,8.07
411,0.9,1.6,9.59,24.08,33.89,20.7,8.07
412,0.9,1.6,9.59,24.08,33.89,20.7,8.07
413,0.9,1.6,9.59,24.08,33.89,20.7,8.07
414,0.9,1.6,9.59,24.08,33.89,20.7,8.07
415,0.9,1.6,9.59,24.08,33.89,20.7,8.07
416,0.9,1.6,9.59,24.08,33.89,20.7,8.07
417,0.9,1.6,9.59,24.08,33.89,20.7,8.07
418,0.9,1.6,9.59,24.08,33.89,20.7,8.07
419,0.9,1.6,9.59,24.08,33.89,20.7,8.07
420,0.9,1.6,9.59,24.08,33.89,20.7,8.07
421,0.9,1.6,9.59,24.08,33.89,20.7,8.07
422,0.9,1.6,9.59,24.08,33.89,20.7,8.07
423,0.9,1.6,9.59,24.08,33.89,20.7,8.07
424,0.9,1.6,9.59,24.08,33.89,20.7,8.07
425,0.9,1.6,9.59,24.08,33.89,20.7,8.07
426,0.9,1.6,9.59,24.08,33.89,20.7,8.07
427,0.9,1.6,9.59,24.08,33.89,20.7,8.07
428,0.9,1.6,9.59,24.08,33.89,20.7,8.07
429,0.9,1.6,9.59,24.08,33.89,20.7,8.07
430,0.9,1.6,9.59,24.08,33.89,20.7,8.07
431,0.9,1.6,9.59,24.08,33.89,20.7,8.07
432,0.9,1.6,9.59,24.08,33.89,20.7,8.07
433,0.9,1.6,9.59,24.08,33.89,20.7,8.07
434,0.9,1.6,9.59,24.08,33.89,20.7,8.07
435,0.9,1.6,9.59,24.08,33.89,20.7,8.07
436,0.9,1.6,9.59,24.08,33.89,20.7,8.07
437,0.9,1.6,9.59,24.08,33.89,20.7,8.07
438,0.9,1.6,9.59,24.08,33.89,20.7,8.07
439,0.9,1.6,9.59,24.08,33.89,20.7,8.07
440,0.9,1.6,9.59,24.08,33.89,20.7,8.07
441,0.9,1.6,9.59,24.08,33.89,20.7,8.07
442,0.9,1.6,9.59,24.08,33.89,20.7,8.07
443,0.9,1.6,9.59,24.08,33.89,20.7,8.07
444,0.9,1.6,9.59,24.08,33.89,20.7,8.07
445,0.9,1.6,9.59,24.08,33.89,20.7,8.07
446,0.9,1.6,9.59,24.08,33.89,20.7,8.07
447,0.9,1.6,9.59,24.08,33.89,20.7,8.07
448,0.9,1.6,9.59,24.08,33.89,20.7,8.07
449,0.9,1.6,9.59,24.08,33.89,20.7,8.07
450,0.9,1.6,9.59,24.08,33.89,20.7,8.07
451,0.9,1.6,9.59,24.08,33.89,20.7,8.07
452,0.9,1.6,9.59,24.08,33.89,20.7,8.07
453,0.9,1.6,9.59,24.08,33.89,20.7,8.07
454,0.9,1.6,9.59,24.08,33.89,20.7,8.07
455,0.9,1.6,9.59,24.08,33.89,20.7,8.07
456,0.9,1.6,9.59,24.08,33.89,20.7,8.07
457,0.9,1.6,9.59,24.08,33.89,20.7,8.07
458,0.9,1.6,9.59,24.08,33.89,20.7,8.07
459,0.9,1.6,9.59,24.08,33.89,20.7,8.07
460,0.9,1.6,9.59,24.08,33.89,20.7,8.07
461,0.9,1.6,9.59,24.08,33.89,20.7,8.07
462,0.9,1.6,9.59,24.08,33.89,20.7,8.07
463,0.9,1.6,9.59,24.08,33.89,20.7,8.07
