tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
775,0,0,20,7
776,0,0,201,1
777,0,0,44,5
778,0,0,58,9
779,0,0,159,2
780,0,0,241,1
781,0,0,141,5
782,0,0,62,2
783,0,0,6,34
784,4155,4332,5,50
785,0,0,2,102
786,0,0,5,130
787,0,0,13,108
788,0,0,13,10
789,0,0,84,3
790,0,0,7,10
791,0,0,12,78
792,0,0,17,47
793,0,0,4,83
794,0,0,2,125
795,0,0,3,222
796,0,0,13,405
797,0,0,4,123
798,0,0,20,134
799,0,0,6,391
800,4155,4332,5,48
801,0,0,11,6
802,0,0,1,157
803,0,0,5,98
804,0,0,31,68
805,0,0,15,43
806,0,0,4,46
807,0,0,7,115
808,0,0,5,123
809,0,0,31,131
810,0,0,41,14
811,0,0,57,3
812,0,0,141,1
813,0,0,195,2
814,0,0,210,3
815,0,0,145,18
816,4155,4332,182,3
817,0,0,192,5
818,0,0,73,4
819,0,0,87,97
820,0,0,14,50
821,0,0,12,40
822,0,0,156,5
823,0,0,179,5
824,0,0,268,11
825,0,0,85,17
826,0,0,312,2
827,0,0,138,12
828,0,0,96,4
829,0,0,40,2
830,0,0,5,52
831,0,0,4,274
832,4155,4332,9,225
833,0,0,8,172
834,0,0,2,272
835,0,0,2,147
836,0,0,24,10
837,0,0,10,62
838,0,0,3,81
839,0,0,9,82
840,0,0,78,5
841,0,0,10,44
842,0,0,21,52
843,0,0,4,60
844,0,0,23,70
845,0,0,75,29
846,0,0,28,21
847,0,0,9,21
848,4155,4332,29,38
849,0,0,46,84
850,0,0,6,162
851,0,0,2,143
852,0,0,23,31
853,0,0,36,66
854,0,0,3,174
855,0,0,3,134
856,0,0,96,64
857,0,0,37,26
858,0,0,7,15
859,0,0,3,53
860,0,0,100,71
861,0,0,147,86
862,0,0,11,158
863,0,0,20,119
864,4155,4332,2,370
865,0,0,4,176
866,0,0,6,282
867,0,0,4,160
868,0,0,177,19
869,0,0,198,88
870,0,0,4,94
871,0,0,4,89
872,0,0,102,21
873,0,0,108,29
874,0,0,59,23
875,0,0,3,169
876,0,0,59,303
877,0,0,16,42
878,0,0,20,68
879,0,0,2,139
880,4155,4332,197,27
881,0,0,117,24
882,0,0,29,30
883,0,0,48,2
884,0,0,41,5
885,0,0,11,103
886,0,0,1,296
887,0,0,3,457
888,0,0,2,438
889,0,0,3,186
890,0,0,6,240
891,0,0,3,254
892,0,0,5,65
893,0,0,41,16
894,0,0,42,149
895,0,0,44,119
896,4155,4332,95,5
897,0,0,187,11
898,0,0,231,5
899,0,0,274,2
900,0,0,189,20
901,0,0,321,1
902,0,0,252,3
903,0,0,258,1
904,0,0,33,29
905,0,0,63,10
906,0,0,89,1
907,0,0,170,2
908,0,0,71,17
909,0,0,12,34
910,0,0,6,126
911,0,0,2,168
912,4155,4332,4,164
913,0,0,4,101
914,0,0,7,87
915,0,0,3,201
916,0,0,11,312
917,0,0,36,65
918,0,0,89,11
919,0,0,24,280
920,0,0,8,255
921,0,0,20,112
922,0,0,37,16
923,0,0,217,1
924,0,0,258,7
925,0,0,161,2
926,0,0,395,1
927,0,0,198,2
928,4155,4332,19,141
929,0,0,8,139
930,0,0,51,105
931,0,0,178,4
932,0,0,277,4
933,0,0,69,13
934,0,0,48,28
935,0,0,93,15
936,0,0,23,48
937,0,0,4,147
938,0,0,8,63
939,0,0,10,133
940,0,0,1,577
941,0,0,3,623
942,0,0,1,355
943,0,0,2,445
944,4155,4332,13,237
945,0,0,28,234
946,0,0,5,111
947,0,0,8,66
948,0,0,5,121
949,0,0,3,111
950,0,0,5,60
951,0,0,34,25
952,0,0,103,36
953,0,0,117,66
954,0,0,50,31
955,0,0,3,136
956,0,0,23,77
957,0,0,16,127
958,0,0,3,160
959,0,0,2,293
960,4155,4332,1,454
961,0,0,1,369
962,0,0,0,496
963,0,0,1,433
964,0,0,3,305
965,0,0,1,270
966,0,0,2,294
967,0,0,3,258
968,0,0,1,358
969,0,0,1,472
970,0,0,1,449
971,0,0,2,171
972,0,0,181,6
973,0,0,59,28
974,0,0,77,5
975,0,0,4,124
976,4155,4332,2,286
977,0,0,1,345
978,0,0,1,294
979,0,0,44,92
980,0,0,286,8
