name,country,region,x,y,ROR,PV,windOn,windOff,BIO,InstalledConCapacity,averageMC
378,DE,23,10.421,52.237,0,0,0,0,0,10000,300
379,DE,23,10.369,52.285,16,0,0,0,0,10000,300
380,DE,23,10.235,52.293,0,0,0,0,0,10000,300
381,DE,23,10.088,52.314,0,46,275,0,16,10000,300
382,DE,23,9.918,52.382,0,10,13,0,6,10000,300
383,DE,23,9.821,52.424,5,97,462,0,76,10000,300
384,DE,23,9.917,52.278,2,44,87,0,22,10000,300
385,DE,23,9.522,52.36,0,23,12,0,5,10000,300
386,DE,23,9.125,52.538,6,163,333,0,63,10000,300
387,DE,23,8.939,52.403,0,0,0,0,0,10000,300
388,DE,23,8.959,52.278,9,61,37,0,8,10000,300
389,DE,23,10.383,52.993,1,114,441,0,92,10000,300
390,DE,71,8.403,52.609,0,250,268,0,53,10000,300
391,DE,71,8.309,52.346,0,163,100,0,34,10000,300
392,DE,71,7.309,52.476,0,300,414,0,98,10000,300
393,DE,22,7.277,52.753,0,226,333,0,58,10000,300
394,DE,22,7.195,52.87,0,0,0,0,0,10000,300
395,DE,22,7.312,53.126,0,123,348,800,53,10000,300
396,DE,22,7.254,53.026,0,0,0,512,0,10000,300
397,DE,23,9.145,52.853,0,0,0,0,0,10000,300
398,DE,22,8.564,53.032,0,16,46,0,12,10000,300
399,DE,22,8.696,53.093,0,28,121,0,6,10000,300
400,DE,22,9.25,53.114,10,87,219,0,56,10000,300
401,DE,22,8.82,53.107,10,11,43,0,2,10000,300
402,DE,22,8.519,53.203,0,2,10,0,0,10000,300
403,DE,22,8.409,53.19,0,0,0,0,0,10000,300
404,DE,22,8.475,53.429,0,68,601,0,32,10000,300
405,DE,22,8.053,53.333,0,247,986,0,82,10000,300
406,DE,22,8.086,53.606,0,70,405,0,25,10000,300
407,DE,22,8.122,53.561,0,0,0,0,0,10000,300
408,DE,22,7.224,53.35,0,40,521,168,6,10000,300
409,DE,22,7.207,53.342,0,41,361,0,24,10000,300
410,DE,82,9.776,53.691,0,51,110,0,7,10000,300
411,DE,23,10.379,53.22,1,35,99,0,26,10000,300
412,DE,82,10.413,53.413,0,66,82,0,15,10000,300
413,DE,22,9.502,53.543,0,29,69,0,12,10000,300
414,DE,82,9.909,53.488,0,38,63,0,44,10000,300
415,DE,82,10.158,53.555,0,37,26,0,37,10000,300
416,DE,81,11.37,53.601,3,228,293,0,103,10000,300
417,DE,81,13.685,54.139,0,46,97,0,8,10000,300
418,DE,81,13.079,54.285,0,114,210,0,23,10000,300
419,DE,81,13.143,53.908,0,211,211,0,49,10000,300
420,DE,81,12.187,53.816,0,129,427,0,28,10000,300
421,DE,81,12.213,54.112,0,125,113,336,6,10000,300
422,DE,81,12.13,54.141,0,9,10,0,0,10000,300
423,DE,21,10.641,53.919,0,47,152,0,34,10000,300
424,DE,21,10.761,53.909,0,84,431,0,23,10000,300
425,DE,21,10.802,53.896,0,0,0,0,0,10000,300
426,DE,22,9.53,53.619,0,0,0,0,0,10000,300
427,DE,82,9.988,53.766,0,62,153,0,31,10000,300
428,DE,82,9.984,53.741,0,12,0,0,0,10000,300
429,DE,21,9.344,53.852,0,0,0,0,0,10000,300
430,DE,21,9.202,53.895,0,240,1460,0,23,10000,300
431,DE,21,9.449,53.968,0,118,527,0,24,10000,300
432,DE,21,9.345,53.922,0,0,0,1447,0,10000,300
433,DE,21,10.177,54.34,3,33,48,0,14,10000,300
434,DE,21,10.156,54.276,0,0,0,0,0,10000,300
435,DE,21,10.061,54.349,1,56,78,0,30,10000,300
436,DE,21,9.725,54.29,0,241,282,0,64,10000,300
437,DE,21,9.317,54.716,0,470,2381,0,107,10000,300
438,CH,93,8.337,47.571,19,0,0,0,0,10000,300
440,DE,71,7.748,52.288,0,0,0,0,0,10000,300
3676,DE,73,7.706,51.279,3,28,26,0,2,10000,300
3006,FR,96,7.508,47.65,0,0,0,0,0,10000,300
25,DE,75,6.796428888,49.33441596,0,0,0,0,0,10000,300
29,LU,91,6.177656537,49.952998,0,0,0,0,0,10000,300
439,DE,22,7.258028771,52.98109976,0,0,0,0,0,10000,300
444,DE,72,6.588194269,51.28422508,0,0,0,0,0,10000,300
445,DE,74,7.030203528,50.75152493,0,0,0,0,0,10000,300
446,DE,72,6.522987931,51.32282763,0,0,0,0,0,10000,300
447,DE,74,7.007971025,50.6882048,0,0,0,0,0,10000,300
449,DE,74,8.685558334,50.2180334,0,0,0,0,0,10000,300
455,DE,22,8.423422928,53.23166526,0,0,0,0,0,10000,300
463,DE,76,10.05375716,48.31281181,0,0,0,0,0,10000,300
464,DE,75,6.797049907,49.33546337,0,0,0,0,0,10000,300
466,DE,73,7.8311163,51.75442278,0,0,0,0,0,10000,300
