name,bus0,bus1,x,r,s_nom
596,364,363,2.92165154,0.538679503,490
597,203,215,10.2467003,1.889235367,490
598,104,116,14.0732809,2.594761167,490
599,421,420,13.35782664,2.462849287,490
600,133,379,3.413244432,0.629316942,490
601,131,264,6.4892924,1.196463286,490
602,202,392,14.95518724,2.757362648,490
603,183,179,10.67841191,1.968832196,490
604,58,259,1.029375223,0.189791057,490
605,339,340,10.42033144,1.921248609,490
606,238,242,1.964725163,0.362246202,490
607,234,235,6.619915922,1.220546998,490
608,163,173,7.845940166,1.446595218,490
609,115,101,3.673609999,0.677321844,490
610,249,250,4.397761428,0.810837263,490
611,110,173,1.273730912,0.234844137,490
612,402,126,2.862253799,0.527728044,490
614,198,31,1.397800734,0.25771951,490
615,173,105,18.31615449,3.377040984,490
616,221,222,4.938153249,0.910472005,490
617,318,316,23.80005997,4.388136058,490
618,303,304,23.14169138,4.266749348,490
619,222,219,10.46436522,1.929367338,490
620,322,233,36.78492883,6.782221253,490
622,289,290,4.814477177,0.555516597,1700
623,331,332,5.237993466,0.965755045,490
624,408,405,18.27744803,3.369904481,490
625,199,30,12.12839865,2.236173501,490
626,303,306,9.901316468,1.825555224,490
627,264,263,0.717346466,0.082770746,1700
628,70,71,0.144269678,0.026599722,490
629,83,100,2.855958982,0.526567437,490
630,249,30,6.650819034,1.226244759,490
631,313,314,7.783165347,1.435021111,490
632,234,29,0.856820838,0.157976342,490
633,436,427,20.10165505,3.70624265,490
634,19,118,8.21584047,1.514795587,490
635,158,97,3.362685634,0.619995164,490
636,91,11,3.185662192,0.587356467,490
637,25,242,5.684111336,1.048008028,490
638,89,156,4.184836111,0.771579158,490
639,84,158,2.89833194,0.534379951,490
640,346,345,8.91337539,1.643403588,490
641,382,221,29.39453162,5.419616768,490
642,403,126,1.79096353,0.330208901,490
643,28,234,3.299998602,0.608437242,490
644,137,420,28.71049695,5.293497875,490
645,436,437,20.27926293,3.738989103,490
646,104,173,1.707583133,0.31483564,490
647,322,323,12.66080315,2.334335581,490
648,375,374,6.553609238,1.208321703,490
649,64,63,0.971200071,0.179065013,490
650,421,418,21.0045477,3.872713481,490
651,426,410,7.681300845,1.416239843,490
652,34,251,5.149757517,0.949486542,490
653,388,203,3.622418964,0.667883497,490
654,198,188,30.490813,5.621743647,490
655,59,74,2.817611817,0.519497179,490
656,111,163,3.88612592,0.716504467,490
657,29,235,7.436264925,1.371061345,490
658,216,203,8.816385779,1.625521128,490
659,64,400,24.01406775,4.427593742,490
660,186,185,5.550679086,1.023406457,490
661,211,213,8.875111497,1.636348682,490
662,314,323,23.66259603,4.362791143,490
663,359,137,19.77850703,3.646662233,490
664,186,447,4.57907405,0.844266778,490
665,321,319,36.11033651,6.657843295,490
666,122,154,4.131459855,0.761737911,490
667,327,329,5.696971696,0.657342888,2100
668,382,379,10.92651768,2.014576698,490
669,249,201,20.53280399,3.785735736,490
670,240,239,0.381634386,0.07036384,490
671,316,314,14.61495277,2.694631917,490
672,346,335,50.42968408,9.297973002,490
673,171,117,5.167880695,0.952828003,490
674,232,231,0.65382768,0.075441655,1700
675,106,103,0.991647362,0.182834982,490
676,207,391,19.85461017,3.66069375,490
677,198,196,8.878245883,1.636926585,490
678,7,88,1.127426366,0.207869236,490
679,113,161,10.02075165,1.847576085,490
680,420,359,48.44945584,8.93286842,490
681,173,109,3.258224966,0.600735228,490
682,365,364,12.5202396,2.308419176,490
683,123,151,1.20943501,0.22298958,490
684,128,233,15.03753549,2.772545606,490
685,437,3,8.44780322,1.557563719,490
686,113,101,3.617368782,0.666952369,490
687,111,165,4.568609439,0.842337365,490
688,286,284,22.49462621,4.147446708,490
689,183,185,16.43341204,3.029910346,490
690,424,423,3.887066279,0.716677845,490
691,421,55,0.665667959,0.12273253,490
692,321,325,11.30955324,1.30494845,1700
693,217,220,14.79193195,1.706761379,1700
694,182,181,9.863469265,1.138092608,1700
695,206,205,9.334367357,1.721023981,490
696,145,176,24.70197477,4.554426598,490
697,194,181,13.23004142,1.526543241,1700
698,236,235,12.89742874,2.377963424,490
699,438,284,3.176986946,0.366575417,1700
700,207,206,5.373019278,0.990650429,490
701,286,287,3.957717243,0.729704117,490
702,407,406,1.866030302,0.344049337,490
703,164,163,2.343793746,0.432136972,490
704,289,288,13.12500718,2.419923198,490
705,289,288,10.66521509,1.230601741,1700
706,418,417,18.16555935,3.349275005,490
707,333,330,14.41387574,1.663139509,2300
708,330,329,13.83839177,1.596737512,2300
711,360,4,6.632765674,0.765319116,1700
720,439,393,8.611650667,0.993652,1700
730,440,207,3.341797289,0.616143875,490
732,211,215,6.975237266,0.804835069,1700
737,444,20,3.206050605,0.369928916,1700
738,444,446,1.911456802,0.220552708,1700
743,445,188,14.54973774,1.678815893,1700
744,445,187,7.342232743,0.847180701,1700
745,186,445,1.66081922,0.191632987,1700
746,447,70,2.456302924,0.452880852,490
747,188,445,14.54535755,1.678310486,1700
748,449,195,4.513166824,0.520750018,1700
767,256,74,4.87574596,0.562586072,1700
768,273,258,6.11973239,0.706122968,1700
781,455,404,7.049770081,0.813435009,1700
861,299,463,1.636540918,0.188831644,1700
865,373,358,44.17233754,5.096808178,1700
866,375,373,14.26531872,1.645998314,1700
869,252,34,0.332810956,0.06136202,490
870,239,464,0.951328564,0.10976868,1700
871,242,464,4.526383134,0.522274977,1700
872,464,26,1.643926856,0.189683868,1700
874,153,176,4.348159133,0.501710669,1700
877,17,37,3.804358894,0.438964488,1700
878,66,466,10.81611092,1.248012798,1700
879,466,37,3.824683121,0.441309591,1700
880,466,145,3.442643119,0.397228052,1700
897,256,258,3.441562446,0.397103359,1700
4904,3006,268,5.162196458,0.951779972,490
5782,3676,178,7.195995832,1.326761732,490
