ID,technology,fuel,node,maxPower,minPower,efficiency,emission,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,heatingDistrict,company,year
BNA0147,hard coal,hard coal,402,350.0,140.0,0.44299999999999995,0.769,244.99999999999997,244.99999999999997,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Farge,1969
BNA0156b,open cycle gas turbine,natural gas,209,13.5,3.375,0.37,0.546,13.5,13.5,3.0,16.5,21.0,28.5,0,0,yes,21.0,DH_DE_Ind,Egger Kraftwerk Briilon,1996
BNA0157,nuclear,uranium,429,1410.0,564.0,0.33,0.0,846.0,846.0,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Brokdorf,1986
BNA0161,oil,oil,430,63.5,15.875,0.31,0.8590000000000001,63.5,63.5,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Brunsbüttel,1973
BNA0162,oil,oil,430,63.5,15.875,0.31,0.8590000000000001,63.5,63.5,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Brunsbüttel,1973
BNA0163,oil,oil,430,63.5,15.875,0.31,0.8590000000000001,63.5,63.5,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Brunsbüttel,1973
BNA0164,oil,oil,430,63.5,15.875,0.31,0.8590000000000001,63.5,63.5,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Brunsbüttel,1973
BNA0174,open cycle gas turbine,natural gas,315,49.0,12.25,0.387,0.521,49.0,49.0,3.0,19.5,34.5,43.5,0,0,yes,33.0,DH_DE_Ind,Industriepark Werk Gendorf,2002
BNA0177,lignite,lignite,349,56.8,28.4,0.371,0.9790000000000001,28.4,28.4,7.0,45.1,73.9,73.2,10,7,yes,162.0,DH_DE_Rem,HKW Chemnitz  Nord II,1988
BNA0178,open cycle gas turbine,natural gas,349,57.2,14.3,0.37,0.546,57.2,57.2,3.0,19.5,34.5,43.5,0,0,yes,165.0,DH_DE_Rem,HKW Chemnitz  Nord II,1986
BNA0179,lignite,lignite,349,90.8,45.4,0.424,0.857,45.4,45.4,7.0,45.1,73.9,73.2,10,7,yes,140.0,DH_DE_Rem,HKW Chemnitz  Nord II,1990
BNA0183,lignite,lignite,357,74.0,37.0,0.39799999999999996,0.914,37.0,37.0,7.0,45.1,73.9,73.2,10,7,yes,117.0,DH_DE_Rem,HKW Cottbus,1999
BNA0194,lignite,lignite,337,49.0,24.5,0.39,0.9309999999999999,24.5,24.5,7.0,45.1,73.9,73.2,10,7,yes,78.0,DH_DE_Rem,Kraftwerk Dessau,1996
BNA0196,lignite,lignite,341,67.0,33.5,0.24600000000000002,1.474,33.5,33.5,7.0,45.1,73.9,73.2,10,7,yes,134.0,DH_DE_Rem,Deuben,1936
BNA0199,combined cycle gas turbine,natural gas,171,586.3,234.51999999999998,0.54,0.374,498.35499999999996,498.35499999999996,4.0,23.0,34.2,46.7,5,6,yes,480.0,DH_DE_Ind,Dormagen,2000
BNA0202,open cycle gas turbine,natural gas,121,26.0,6.5,0.389,0.518,26.0,26.0,3.0,19.5,34.5,43.5,0,0,yes,16.0,DH_DE_Ind,Dortmund,2004
BNA0203,hard coal,hard coal,153,345.0,138.0,0.353,0.965,241.49999999999997,241.49999999999997,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Knepper,1971
BNA0207,combined cycle gas turbine,natural gas,351,263.0,105.2,0.518,0.39,223.54999999999998,223.54999999999998,4.0,24.0,34.2,46.7,5,6,yes,455.0,DH_DE_Dresden,HKW Dresden-Nossener Brücke,1995
BNA0211,hard coal,hard coal,14,95.0,38.0,0.38799999999999996,0.878,66.5,66.5,1.3,45.1,73.9,73.2,7,6,yes,139.0,DH_DE_Rem,HKW I,1985
BNA0213,open cycle gas turbine,natural gas,100,40.0,10.0,0.387,0.521,40.0,40.0,3.0,19.5,34.5,43.5,0,0,yes,24.0,DH_DE_Rem,HKW III/A,2002
BNA0214,combined cycle gas turbine,natural gas,100,234.0,93.60000000000001,0.563,0.359,198.9,198.9,4.0,23.0,34.2,46.7,5,6,yes,167.0,DH_DE_Rem,HKW III/B,2005
BNA0216a,hard coal,hard coal,142,370.0,148.0,0.395,0.861,259.0,259.0,1.3,30.5,47.5,69.3,7,6,yes,295.0,DH_DE_Rem,KW Walsum,1988
BNA0216b,hard coal,hard coal,142,725.0,290.0,0.45799999999999996,0.743,507.49999999999994,507.49999999999994,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,KW Walsum,2013
BNA0220,combined cycle gas turbine,natural gas,115,100.0,40.0,0.54,0.374,85.0,85.0,4.0,23.0,34.2,46.7,5,6,yes,75.0,DH_DE_Rem,GuD,2000
BNA0221a,open cycle gas turbine,natural gas,115,64.7,16.175,0.312,0.6459999999999999,64.7,64.7,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,GT,1974
BNA0221b,open cycle gas turbine,natural gas,115,66.7,16.675,0.312,0.6459999999999999,66.7,66.7,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,GT,1974
BNA0221c,open cycle gas turbine,natural gas,115,293.0,73.25,0.359,0.563,293.0,293.0,3.0,19.5,34.5,43.5,0,0,yes,149.0,DH_DE_Rem,Gasblock,1976
BNA0222,oil,oil,117,86.2,21.55,0.32,0.831,86.2,86.2,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,GT,1977
BNA0232c,open cycle gas turbine,natural gas,297,4.0,1.0,0.359,0.563,4.0,4.0,3.0,19.5,34.5,43.5,0,0,yes,8.0,DH_DE_Rem,Werkskraftwerk Sappi Ehingen,1976
BNA0233,open cycle gas turbine,natural gas,345,46.6,11.65,0.377,0.535,46.6,46.6,3.0,19.5,34.5,43.5,0,0,yes,74.0,DH_DE_Rem,Kombikraftwerk,1993
BNA0239,open cycle gas turbine,natural gas,403,321.0,80.25,0.396,0.51,321.0,321.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Huntorf,1978
BNA0243,open cycle gas turbine,natural gas,81,57.0,14.25,0.39399999999999996,0.512,57.0,57.0,3.0,19.5,34.5,43.5,0,0,yes,81.0,DH_DE_Ind,HKW Eltmann,2008
BNA0245a,open cycle gas turbine,natural gas,409,50.0,12.5,0.355,0.568,50.0,50.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Emden Gas,1973
BNA0251,nuclear,uranium,217,1360.0,544.0,0.33,0.0,816.0,816.0,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Grohnde,1985
BNA0252,hard coal,hard coal,26,283.0,113.2,0.43,0.7909999999999999,198.1,198.1,1.3,45.1,73.9,73.2,7,6,yes,145.0,DH_DE_Saar,Kraftwerk Ensdorf,2001
BNA0253,hard coal,hard coal,26,106.0,42.400000000000006,0.43,0.7909999999999999,74.19999999999999,74.19999999999999,1.3,45.1,73.9,73.2,7,6,yes,66.0,DH_DE_Saar,Kraftwerk Ensdorf,1963
BNA0255,open cycle gas turbine,natural gas,333,11.0,2.75,0.381,0.53,11.0,11.0,3.0,19.5,34.5,43.5,0,0,yes,23.0,DH_DE_Rem,HKW Iderhoffstraße,1996
BNA0256a,combined cycle gas turbine,natural gas,333,76.5,30.6,0.54,0.374,65.02499999999999,65.02499999999999,4.0,24.0,34.2,46.7,5,6,yes,333.0,DH_DE_Rem,HKW Erfurt-Ost,2000
BNA0256b,combined cycle gas turbine,natural gas,333,32.6,13.040000000000001,0.603,0.335,27.71,27.71,4.0,23.0,34.2,46.7,5,6,yes,47.0,DH_DE_Rem,HKW Erfurt-Ost,2014
BNA0261a,combined cycle gas turbine,natural gas,324,21.6,8.64,0.563,0.359,18.36,18.36,4.0,23.0,34.2,46.7,5,6,yes,13.0,DH_DE_Rem,HKW Erlangen,2005
BNA0261b,hard coal,hard coal,324,17.4,6.96,0.375,0.907,12.179999999999998,12.179999999999998,1.3,45.1,73.9,73.2,7,6,yes,87.0,DH_DE_Rem,HKW Erlangen,1980
BNA0261c,combined cycle gas turbine,natural gas,324,6.7,2.68,0.603,0.335,5.695,5.695,4.0,23.0,34.2,46.7,5,6,yes,10.0,DH_DE_Rem,HKW Erlangen,2014
BNA0263,nuclear,uranium,317,1410.0,564.0,0.33,0.0,846.0,846.0,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Isar 2,1988
BNA0270,hard coal,hard coal,437,27.0,10.8,0.405,0.84,18.9,18.9,1.3,45.1,73.9,73.2,7,6,yes,40.0,DH_DE_Rem,Heizkraftwerk FL,1992
BNA0271,hard coal,hard coal,437,29.0,11.600000000000001,0.395,0.861,20.299999999999997,20.299999999999997,1.3,45.1,73.9,73.2,7,6,yes,46.0,DH_DE_Rem,Heizkraftwerk FL,1988
BNA0272,hard coal,hard coal,437,33.0,13.200000000000001,0.38799999999999996,0.878,23.099999999999998,23.099999999999998,1.3,45.1,73.9,73.2,7,6,yes,52.0,DH_DE_Rem,Heizkraftwerk FL,1985
BNA0273,hard coal,hard coal,437,35.0,14.0,0.38,0.895,24.5,24.5,1.3,45.1,73.9,73.2,7,6,yes,56.0,DH_DE_Rem,Heizkraftwerk FL,1982
BNA0274,hard coal,hard coal,437,23.0,9.200000000000001,0.37,0.919,16.099999999999998,16.099999999999998,1.3,45.1,73.9,73.2,7,6,yes,40.0,DH_DE_Rem,Heizkraftwerk FL,1978
BNA0284,lignite,lignite,356,45.0,22.5,0.39299999999999996,0.925,22.5,22.5,7.0,45.1,73.9,73.2,10,7,yes,71.0,DH_DE_Rem,Heizkraftwerk FFO,1997
BNA0285,combined cycle gas turbine,natural gas,195,70.0,28.0,0.563,0.359,59.5,59.5,4.0,23.0,34.2,46.7,5,6,yes,120.0,DH_DE_Rem,HKW Niederrad,2005
BNA0286,open cycle gas turbine,natural gas,195,99.0,24.75,0.364,0.5539999999999999,99.0,99.0,3.0,16.5,21.0,28.5,0,0,yes,150.0,DH_DE_Rem,HKW West,1994
BNA0288,combined cycle gas turbine,natural gas,195,56.0,22.400000000000002,0.419,0.48200000000000004,47.6,47.6,4.0,24.0,34.2,46.7,5,6,yes,98.0,DH_DE_Rem,HKW Niederrad,1973
BNA0289b,hard coal,hard coal,195,61.5,24.6,0.39799999999999996,0.856,43.05,43.05,1.3,45.1,73.9,73.2,7,6,yes,98.0,DH_DE_Rem,HKW West,1989
BNA0290,hard coal,hard coal,195,61.5,24.6,0.39799999999999996,0.856,43.05,43.05,1.3,45.1,73.9,73.2,7,6,yes,98.0,DH_DE_Rem,HKW West,1989
BNA0292,lignite,lignite,168,118.0,59.0,0.371,0.9790000000000001,59.0,59.0,7.0,45.1,73.9,73.2,10,7,yes,251.0,DH_DE_Rem,Frechen/Wachtberg,1959
BNA0293,combined cycle gas turbine,natural gas,268,60.1,24.040000000000003,0.531,0.38,51.085,51.085,4.0,23.0,34.2,46.7,5,6,yes,92.0,DH_DE_Ind,GuD Anlage WVK,1998
BNA0313,lignite,lignite,113,284.0,142.0,0.376,0.966,142.0,142.0,7.0,45.1,73.9,73.2,10,7,yes,654.0,DH_DE_Rem,Frimmersdorf,1966
BNA0314,lignite,lignite,113,278.0,139.0,0.376,0.966,139.0,139.0,7.0,45.1,73.9,73.2,10,7,no,0.0,N/A,Frimmersdorf,1970
BNA0318,oil,oil,227,24.8,6.2,0.397,0.67,24.8,24.8,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Kraftwerk Fulda,2011
BNA0331,hard coal,hard coal,151,345.0,138.0,0.348,0.9790000000000001,241.49999999999997,241.49999999999997,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Scholven,1969
BNA0332,hard coal,hard coal,151,345.0,138.0,0.345,0.986,241.49999999999997,241.49999999999997,1.3,30.5,47.5,69.3,7,6,yes,381.0,DH_DE_Gelsenkirchen,Scholven,1968
BNA0336,hard coal,hard coal,151,70.0,28.0,0.38799999999999996,0.878,49.0,49.0,1.3,45.1,73.9,73.2,7,6,yes,200.0,DH_DE_Gelsenkirchen,FWK Buer,1985
BNA0343,open cycle gas turbine,natural gas,339,74.0,18.5,0.381,0.53,74.0,74.0,3.0,19.5,34.5,43.5,0,0,yes,59.0,DH_DE_Ind,Heizkraftwerk Gera-Nord,1996
BNA0354,open cycle gas turbine,natural gas,222,18.8,4.7,0.38299999999999995,0.527,18.8,18.8,3.0,19.5,34.5,43.5,0,0,yes,29.0,DH_DE_Rem,HKW Göttingen,1998
BNA0355,nuclear,uranium,231,1275.0,510.0,0.33,0.0,765.0,765.0,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Grafenrheinfeld,1982
BNA0360,open cycle gas turbine,natural gas,417,14.7,3.675,0.37,0.546,14.7,14.7,3.0,16.5,21.0,28.5,0,0,yes,23.0,DH_DE_Rem,"HKW ""Helmshäger Berg""",1996
BNA0361,open cycle gas turbine,natural gas,80,40.0,10.0,0.389,0.518,40.0,40.0,3.0,19.5,34.5,43.5,0,0,yes,57.0,DH_DE_Ind,Kraftwerk Grenzach-Wyhlen,2004
BNA0369,oil,oil,346,17.0,4.25,0.38,0.701,17.0,17.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Spitzenlastkraftwerk Sermuth,1995
BNA0373,oil,oil,143,120.0,30.0,0.364,0.73,120.0,120.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Spitzenlastkraftwerk Großkayna,1994
BNA0374,open cycle gas turbine,natural gas,192,622.0,155.5,0.36,0.561,622.0,622.0,3.0,19.5,34.5,43.5,0,0,no,0.0,N/A,Staudinger,1977
BNA0377,hard coal,hard coal,192,510.0,204.0,0.405,0.84,357.0,357.0,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Staudinger,1992
BNA0378,oil,oil,313,386.0,96.5,0.355,0.7490000000000001,386.0,386.0,3.0,20.7,35.8,45.1,0,0,yes,643.0,DH_DE_Rem,Ingolstadt,1973
BNA0379,oil,oil,313,386.0,96.5,0.35600000000000004,0.746,386.0,386.0,3.0,20.7,35.8,45.1,0,0,yes,643.0,DH_DE_Rem,Ingolstadt,1974
BNA0381,nuclear,uranium,294,1284.0,513.6,0.33,0.0,770.4,770.4,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Kernkraft Gundremmingen ,1984
BNA0382,nuclear,uranium,294,1288.0,515.2,0.33,0.0,772.8,772.8,6.0,140.0,140.0,140.0,72,10,no,0.0,N/A,Kernkraft Gundremmingen ,1984
BNA0386,open cycle gas turbine,natural gas,211,22.0,5.5,0.37799999999999995,0.5329999999999999,22.0,22.0,3.0,19.5,34.5,43.5,0,0,yes,34.0,DH_DE_Ind,Energiezentrum Mohn Media,1994
BNA0389,combined cycle gas turbine,natural gas,178,230.0,92.0,0.5579999999999999,0.36200000000000004,195.5,195.5,4.0,24.0,34.2,46.7,5,6,yes,211.0,DH_DE_Ind,Heizkraftwerk Hagen-Kabel,1980
BNA0392a,open cycle gas turbine,natural gas,143,97.0,24.25,0.391,0.517,97.0,97.0,3.0,19.5,34.5,43.5,0,0,yes,78.0,DH_DE_Ind,HKW Halle Trotha,2005
BNA0392b,combined cycle gas turbine,natural gas,143,54.0,21.6,0.599,0.337,45.9,45.9,4.0,23.0,34.2,46.7,5,6,yes,43.0,DH_DE_Rem,HKW Halle Trotha,2013
BNA0400,combined cycle gas turbine,natural gas,415,127.0,50.800000000000004,0.581,0.348,107.95,107.95,4.0,23.0,34.2,46.7,5,6,yes,170.0,DH_DE_Hamburg,GuD Tiefstack,2009
BNA0401,open cycle gas turbine,natural gas,414,22.5,5.625,0.376,0.536,22.5,22.5,3.0,19.5,34.5,43.5,0,0,yes,35.0,DH_DE_Rem,Heizkraftwerk,1992
BNA0402,hard coal,hard coal,415,194.0,77.60000000000001,0.408,0.835,135.79999999999998,135.79999999999998,1.3,45.1,73.9,73.2,7,6,yes,814.0,DH_DE_Hamburg,Tiefstack,1993
BNA0403,hard coal,hard coal,410,123.0,49.2,0.408,0.835,86.1,86.1,1.3,45.1,73.9,73.2,7,6,yes,63.0,DH_DE_Hamburg,Wedel,1962
BNA0404,hard coal,hard coal,410,137.0,54.800000000000004,0.408,0.835,95.89999999999999,95.89999999999999,1.3,45.1,73.9,73.2,7,6,yes,290.0,DH_DE_Hamburg,Wedel,1961
BNA0410,combined cycle gas turbine,natural gas,65,417.1,166.84000000000003,0.5760000000000001,0.35,354.535,354.535,4.0,23.0,34.2,46.7,5,6,no,0.0,N/A,Trianel Gaskraftwerk ,2008
BNA0411,combined cycle gas turbine,natural gas,65,420.9,168.36,0.5760000000000001,0.35,357.765,357.765,4.0,24.0,34.2,46.7,5,6,no,0.0,N/A,Trianel Gaskraftwerk ,2008
BNA0413a,hard coal,hard coal,36,284.0,113.60000000000001,0.348,0.9790000000000001,198.79999999999998,198.79999999999998,1.3,45.1,73.9,73.2,7,6,no,0.0,N/A,Westfalen,1969
