,demand
1471,47456
1472,48464
1473,49484
1474,50692
1475,51688
1476,52800
1477,53916
1478,54460
1479,55404
1480,56008
1481,56524
1482,57596
1483,57984
1484,58964
1485,59392
1486,59576
1487,59380
1488,59688
1489,59780
1490,59984
1491,59176
1492,59168
1493,58500
1494,57940
1495,57552
1496,57408
1497,57336
1498,57104
1499,56156
1500,56444
1501,55736
1502,55504
1503,56484
1504,56572
1505,56948
1506,57388
1507,58472
1508,60404
1509,61176
1510,61924
1511,62740
1512,62828
1513,62516
1514,62288
1515,61964
1516,62156
1517,61484
1518,61052
1519,61040
1520,59868
1521,59040
1522,57696
1523,57004
1524,56396
1525,56184
1526,56192
1527,56240
1528,57496
1529,56824
1530,56380
1531,55840
1532,54680
1533,54000
1534,53448
1535,53072
1536,52452
1537,51340
1538,50788
1539,50184
1540,48916
1541,49304
1542,49392
1543,49664
1544,49076
1545,48256
1546,48772
1547,48548
1548,48452
1549,49060
1550,49488
1551,49604
1552,49988
1553,50512
1554,51348
1555,52176
1556,53100
1557,54120
1558,56108
1559,57908
1560,60900
1561,63532
1562,65400
1563,66944
1564,68904
1565,70008
1566,70924
1567,72148
1568,73436
1569,73532
1570,74104
1571,74596
1572,74580
1573,74680
1574,74948
1575,75048
1576,75436
1577,75784
1578,76112
1579,76612
1580,76328
1581,76812
1582,76180
1583,75976
1584,75672
1585,75640
1586,75988
1587,76268
1588,75808
1589,75044
1590,74292
1591,73900
1592,74012
1593,73680
1594,73016
1595,72252
1596,73000
1597,72512
1598,70932
1599,69684
1600,70120
1601,70208
1602,70024
1603,70596
1604,71356
1605,72760
1606,73416
1607,73364
1608,72596
1609,72020
1610,72376
1611,71992
1612,71720
1613,71212
1614,70648
1615,69308
1616,68216
1617,67196
1618,65848
1619,64816
1620,64076
1621,63320
1622,61932
1623,60616
1624,60212
1625,59672
1626,58548
1627,57372
1628,56224
1629,55700
1630,54664
1631,53972
1632,53616
1633,53380
1634,52652
1635,52180
1636,51364
1637,50860
1638,50348
1639,50384
1640,50820
1641,50608
1642,50732
1643,50852
1644,50288
1645,50464
1646,50420
1647,50304
1648,50232
1649,50576
1650,51192
1651,51404
1652,52604
1653,53072
1654,54448
1655,55720
1656,59180
1657,61404
1658,62860
1659,64760
1660,66188
1661,67552
1662,68168
1663,68980
1664,69512
1665,69332
1666,69656
1667,69852
1668,69368
1669,69328
1670,69388
1671,69688
1672,69692
1673,69584
