tick;SH;HH;NI;HB;NW;HE;RP;BW;BY;SL;BE;BB;MV;SN;ST;TH
4933;3,73181E-05;3,75788E-05;3,76409E-05;3,76291E-05;3,83511E-05;3,44709E-05;3,59721E-05;3,37055E-05;2,91199E-05;3,79301E-05;3,4567E-05;3,4567E-05;3,5696E-05;3,49262E-05;3,49535E-05;3,50363E-05
4934;3,73181E-05;3,75788E-05;3,76409E-05;3,76291E-05;3,83511E-05;3,44709E-05;3,59721E-05;3,37055E-05;2,91199E-05;3,79301E-05;3,4567E-05;3,4567E-05;3,5696E-05;3,49262E-05;3,49535E-05;3,50363E-05
4935;3,73181E-05;3,75788E-05;3,76409E-05;3,76291E-05;3,83511E-05;3,44709E-05;3,59721E-05;3,37055E-05;2,91199E-05;3,79301E-05;3,4567E-05;3,4567E-05;3,5696E-05;3,49262E-05;3,49535E-05;3,50363E-05
4936;3,67546E-05;3,70114E-05;3,70725E-05;3,70609E-05;3,77719E-05;3,37878E-05;3,5429E-05;3,31967E-05;2,85431E-05;3,73573E-05;3,3882E-05;3,3882E-05;3,49886E-05;3,43989E-05;3,42608E-05;3,45074E-05
4937;3,67546E-05;3,70114E-05;3,70725E-05;3,70609E-05;3,77719E-05;3,37878E-05;3,5429E-05;3,31967E-05;2,85431E-05;3,73573E-05;3,3882E-05;3,3882E-05;3,49886E-05;3,43989E-05;3,42608E-05;3,45074E-05
4938;3,67546E-05;3,70114E-05;3,70725E-05;3,70609E-05;3,77719E-05;3,37878E-05;3,5429E-05;3,31967E-05;2,85431E-05;3,73573E-05;3,3882E-05;3,3882E-05;3,49886E-05;3,43989E-05;3,42608E-05;3,45074E-05
4939;3,67546E-05;3,70114E-05;3,70725E-05;3,70609E-05;3,77719E-05;3,37878E-05;3,5429E-05;3,31967E-05;2,85431E-05;3,73573E-05;3,3882E-05;3,3882E-05;3,49886E-05;3,43989E-05;3,42608E-05;3,45074E-05
4940;3,49106E-05;3,51544E-05;3,52125E-05;3,52015E-05;3,58768E-05;3,16199E-05;3,36516E-05;3,15316E-05;2,67127E-05;3,5483E-05;3,17081E-05;3,17081E-05;3,27435E-05;3,26734E-05;3,20626E-05;3,27764E-05
4941;3,49106E-05;3,51544E-05;3,52125E-05;3,52015E-05;3,58768E-05;3,16199E-05;3,36516E-05;3,15316E-05;2,67127E-05;3,5483E-05;3,17081E-05;3,17081E-05;3,27435E-05;3,26734E-05;3,20626E-05;3,27764E-05
4942;3,49106E-05;3,51544E-05;3,52125E-05;3,52015E-05;3,58768E-05;3,16199E-05;3,36516E-05;3,15316E-05;2,67127E-05;3,5483E-05;3,17081E-05;3,17081E-05;3,27435E-05;3,26734E-05;3,20626E-05;3,27764E-05
4943;3,49106E-05;3,51544E-05;3,52125E-05;3,52015E-05;3,58768E-05;3,16199E-05;3,36516E-05;3,15316E-05;2,67127E-05;3,5483E-05;3,17081E-05;3,17081E-05;3,27435E-05;3,26734E-05;3,20626E-05;3,27764E-05
4944;3,38437E-05;3,40802E-05;3,41365E-05;3,41258E-05;3,47804E-05;3,03974E-05;3,26234E-05;3,05683E-05;2,56804E-05;3,43986E-05;3,04821E-05;3,04821E-05;3,14774E-05;3,16751E-05;3,08229E-05;3,1775E-05
4945;3,38437E-05;3,40802E-05;3,41365E-05;3,41258E-05;3,47804E-05;3,03974E-05;3,26234E-05;3,05683E-05;2,56804E-05;3,43986E-05;3,04821E-05;3,04821E-05;3,14774E-05;3,16751E-05;3,08229E-05;3,1775E-05
4946;3,38437E-05;3,40802E-05;3,41365E-05;3,41258E-05;3,47804E-05;3,03974E-05;3,26234E-05;3,05683E-05;2,56804E-05;3,43986E-05;3,04821E-05;3,04821E-05;3,14774E-05;3,16751E-05;3,08229E-05;3,1775E-05
4947;3,38437E-05;3,40802E-05;3,41365E-05;3,41258E-05;3,47804E-05;3,03974E-05;3,26234E-05;3,05683E-05;2,56804E-05;3,43986E-05;3,04821E-05;3,04821E-05;3,14774E-05;3,16751E-05;3,08229E-05;3,1775E-05
4948;3,3673E-05;3,39083E-05;3,39643E-05;3,39537E-05;3,46049E-05;2,94129E-05;3,24589E-05;3,04142E-05;2,48491E-05;3,42251E-05;2,94949E-05;2,94949E-05;3,04578E-05;3,15153E-05;2,98245E-05;3,16147E-05
4949;3,3673E-05;3,39083E-05;3,39643E-05;3,39537E-05;3,46049E-05;2,94129E-05;3,24589E-05;3,04142E-05;2,48491E-05;3,42251E-05;2,94949E-05;2,94949E-05;3,04578E-05;3,15153E-05;2,98245E-05;3,16147E-05
4950;3,3673E-05;3,39083E-05;3,39643E-05;3,39537E-05;3,46049E-05;2,94129E-05;3,24589E-05;3,04142E-05;2,48491E-05;3,42251E-05;2,94949E-05;2,94949E-05;3,04578E-05;3,15153E-05;2,98245E-05;3,16147E-05
4951;3,3673E-05;3,39083E-05;3,39643E-05;3,39537E-05;3,46049E-05;2,94129E-05;3,24589E-05;3,04142E-05;2,48491E-05;3,42251E-05;2,94949E-05;2,94949E-05;3,04578E-05;3,15153E-05;2,98245E-05;3,16147E-05
4952;3,52272E-05;3,54733E-05;3,55319E-05;3,55209E-05;3,62022E-05;3,0501E-05;3,39569E-05;3,18176E-05;2,57679E-05;3,58049E-05;3,0586E-05;3,0586E-05;3,15847E-05;3,29697E-05;3,09279E-05;3,30736E-05
4953;3,52272E-05;3,54733E-05;3,55319E-05;3,55209E-05;3,62022E-05;3,0501E-05;3,39569E-05;3,18176E-05;2,57679E-05;3,58049E-05;3,0586E-05;3,0586E-05;3,15847E-05;3,29697E-05;3,09279E-05;3,30736E-05
4954;3,52272E-05;3,54733E-05;3,55319E-05;3,55209E-05;3,62022E-05;3,0501E-05;3,39569E-05;3,18176E-05;2,57679E-05;3,58049E-05;3,0586E-05;3,0586E-05;3,15847E-05;3,29697E-05;3,09279E-05;3,30736E-05
4955;3,52272E-05;3,54733E-05;3,55319E-05;3,55209E-05;3,62022E-05;3,0501E-05;3,39569E-05;3,18176E-05;2,57679E-05;3,58049E-05;3,0586E-05;3,0586E-05;3,15847E-05;3,29697E-05;3,09279E-05;3,30736E-05
4956;3,47405E-05;3,49832E-05;3,5041E-05;3,503E-05;3,5702E-05;2,9945E-05;3,34877E-05;3,13781E-05;2,52983E-05;3,53101E-05;3,00284E-05;3,00284E-05;3,10089E-05;3,25142E-05;3,03641E-05;3,26167E-05
4957;3,47405E-05;3,49832E-05;3,5041E-05;3,503E-05;3,5702E-05;2,9945E-05;3,34877E-05;3,13781E-05;2,52983E-05;3,53101E-05;3,00284E-05;3,00284E-05;3,10089E-05;3,25142E-05;3,03641E-05;3,26167E-05
4958;3,47405E-05;3,49832E-05;3,5041E-05;3,503E-05;3,5702E-05;2,9945E-05;3,34877E-05;3,13781E-05;2,52983E-05;3,53101E-05;3,00284E-05;3,00284E-05;3,10089E-05;3,25142E-05;3,03641E-05;3,26167E-05
4959;3,47405E-05;3,49832E-05;3,5041E-05;3,503E-05;3,5702E-05;2,9945E-05;3,34877E-05;3,13781E-05;2,52983E-05;3,53101E-05;3,00284E-05;3,00284E-05;3,10089E-05;3,25142E-05;3,03641E-05;3,26167E-05
4960;3,46465E-05;3,48886E-05;3,49462E-05;3,49353E-05;3,56054E-05;2,94843E-05;3,33972E-05;3,12932E-05;2,49094E-05;3,52146E-05;2,95665E-05;2,95665E-05;3,05318E-05;3,24263E-05;2,98969E-05;3,25285E-05
4961;3,46465E-05;3,48886E-05;3,49462E-05;3,49353E-05;3,56054E-05;2,94843E-05;3,33972E-05;3,12932E-05;2,49094E-05;3,52146E-05;2,95665E-05;2,95665E-05;3,05318E-05;3,24263E-05;2,98969E-05;3,25285E-05
4962;3,46465E-05;3,48886E-05;3,49462E-05;3,49353E-05;3,56054E-05;2,94843E-05;3,33972E-05;3,12932E-05;2,49094E-05;3,52146E-05;2,95665E-05;2,95665E-05;3,05318E-05;3,24263E-05;2,98969E-05;3,25285E-05
4963;3,46465E-05;3,48886E-05;3,49462E-05;3,49353E-05;3,56054E-05;2,94843E-05;3,33972E-05;3,12932E-05;2,49094E-05;3,52146E-05;2,95665E-05;2,95665E-05;3,05318E-05;3,24263E-05;2,98969E-05;3,25285E-05
4964;3,6713E-05;3,69696E-05;3,70306E-05;3,70191E-05;3,77293E-05;3,21536E-05;3,5389E-05;3,31592E-05;2,71632E-05;3,73151E-05;3,22432E-05;3,22432E-05;3,32962E-05;3,436E-05;3,26037E-05;3,44684E-05
4965;3,6713E-05;3,69696E-05;3,70306E-05;3,70191E-05;3,77293E-05;3,21536E-05;3,5389E-05;3,31592E-05;2,71632E-05;3,73151E-05;3,22432E-05;3,22432E-05;3,32962E-05;3,436E-05;3,26037E-05;3,44684E-05
4966;3,6713E-05;3,69696E-05;3,70306E-05;3,70191E-05;3,77293E-05;3,21536E-05;3,5389E-05;3,31592E-05;2,71632E-05;3,73151E-05;3,22432E-05;3,22432E-05;3,32962E-05;3,436E-05;3,26037E-05;3,44684E-05
4967;3,6713E-05;3,69696E-05;3,70306E-05;3,70191E-05;3,77293E-05;3,21536E-05;3,5389E-05;3,31592E-05;2,71632E-05;3,73151E-05;3,22432E-05;3,22432E-05;3,32962E-05;3,436E-05;3,26037E-05;3,44684E-05
4968;3,58079E-05;3,60581E-05;3,61177E-05;3,61064E-05;3,6799E-05;3,22726E-05;3,45166E-05;3,23419E-05;2,72637E-05;3,63951E-05;3,23626E-05;3,23626E-05;3,34194E-05;3,35131E-05;3,27244E-05;3,36188E-05
