hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t1264," 2,020.37 ", 287.12 , 394.54 , 800.73 , 457.94 , 870.85 ," 11,594.61 "," 10,896.41 ", 382.65 , 213.15 , 470.30 , 192.22 
t1265," 2,039.66 ", 290.53 , 398.04 , 808.38 , 462.65 , 877.90 ," 11,705.26 "," 10,965.89 ", 386.47 , 214.87 , 474.48 , 194.08 
t1266," 2,058.53 ", 293.74 , 400.90 , 815.86 , 468.15 , 883.98 ," 11,813.43 "," 11,198.44 ", 390.23 , 216.35 , 477.85 , 196.07 
t1267," 2,068.30 ", 295.41 , 401.78 , 819.75 , 471.42 , 887.69 ," 11,869.43 "," 11,547.84 ", 391.87 , 217.26 , 478.87 , 197.33 
t1268," 2,083.82 ", 297.70 , 403.78 , 825.91 , 475.51 , 893.10 ," 11,958.15 "," 11,847.07 ", 393.39 , 218.59 , 481.27 , 198.86 
t1269," 2,067.87 ", 295.74 , 399.63 , 819.61 , 472.18 , 884.89 ," 11,866.34 "," 11,881.22 ", 389.97 , 216.58 , 476.31 , 197.58 
t1270," 2,064.23 ", 296.07 , 398.24 , 818.18 , 471.79 , 884.89 ," 11,845.31 "," 11,996.51 ", 388.85 , 216.60 , 474.65 , 197.32 
t1271," 2,062.53 ", 296.78 , 397.08 , 817.52 , 471.79 , 886.21 ," 11,835.36 "," 11,739.30 ", 387.89 , 216.93 , 473.27 , 197.35 
t1272," 2,096.20 ", 302.86 , 403.01 , 830.86 , 480.71 , 905.00 ," 12,028.54 "," 11,679.34 ", 395.20 , 221.55 , 480.30 , 201.24 
t1273," 1,992.64 ", 289.94 , 384.08 , 789.80 , 458.98 , 865.88 ," 11,434.57 "," 11,648.44 ", 377.05 , 211.99 , 457.74 , 192.30 
t1274," 2,000.63 ", 292.42 , 387.08 , 792.95 , 462.46 , 874.89 ," 11,480.65 "," 11,709.69 ", 380.15 , 214.21 , 461.35 , 193.79 
t1275," 2,015.37 ", 295.83 , 391.34 , 798.78 , 467.39 , 886.95 ," 11,565.59 "," 11,912.32 ", 385.02 , 217.17 , 466.44 , 195.96 
t1276," 2,060.12 ", 303.20 , 401.50 , 816.50 , 478.64 , 912.07 ," 11,822.61 "," 12,971.68 ", 395.72 , 223.33 , 478.59 , 200.87 
t1277," 2,126.74 ", 313.24 , 415.57 , 842.89 , 494.74 , 945.16 ," 12,205.01 "," 14,065.66 ", 409.58 , 231.45 , 495.40 , 207.46 
t1278," 2,209.82 ", 324.56 , 431.50 , 875.84 , 512.58 , 983.79 ," 12,681.53 "," 14,879.11 ", 425.60 , 240.92 , 514.41 , 215.18 
t1279," 2,262.00 ", 330.76 , 441.61 , 896.53 , 524.49 ," 1,008.16 "," 12,980.73 "," 15,051.72 ", 435.26 , 246.90 , 526.51 , 220.15 
t1280," 2,298.02 ", 334.55 , 448.45 , 910.82 , 533.32 ," 1,023.15 "," 13,187.18 "," 14,712.81 ", 441.88 , 250.57 , 534.69 , 223.63 
t1281," 2,289.52 ", 332.14 , 446.44 , 907.47 , 532.80 ," 1,018.93 "," 13,138.29 "," 14,036.61 ", 440.65 , 249.55 , 532.31 , 223.10 
t1282," 2,257.02 ", 326.62 , 440.33 , 894.59 , 527.76 ," 1,005.28 "," 12,951.64 "," 13,454.20 ", 435.26 , 246.21 , 525.06 , 220.08 
t1283," 2,205.05 ", 317.91 , 429.80 , 874.02 , 518.13 , 981.41 ," 12,653.16 "," 12,725.33 ", 425.28 , 240.37 , 512.54 , 215.14 
t1284," 2,153.83 ", 309.72 , 419.50 , 853.73 , 508.58 , 961.20 ," 12,358.85 "," 12,120.89 ", 414.76 , 235.44 , 500.30 , 210.09 
t1285," 2,102.24 ", 301.22 , 407.98 , 833.31 , 498.26 , 941.42 ," 12,062.43 "," 11,726.43 ", 403.86 , 230.62 , 486.57 , 204.84 
t1286," 2,106.37 ", 301.48 , 407.17 , 834.98 , 500.94 , 947.04 ," 12,085.62 "," 11,434.27 ", 403.70 , 232.02 , 485.60 , 204.87 
t1287," 2,078.22 ", 298.01 , 399.02 , 823.85 , 496.06 , 936.74 ," 11,923.81 "," 11,151.88 ", 397.30 , 229.52 , 475.82 , 201.84 
t1288," 2,083.55 ", 299.42 , 397.83 , 825.98 , 499.38 , 941.22 ," 11,954.17 "," 11,065.53 ", 397.08 , 230.63 , 474.32 , 202.11 
t1289," 2,103.41 ", 302.88 , 399.99 , 833.85 , 505.74 , 951.83 ," 12,067.96 "," 11,137.78 ", 399.74 , 233.24 , 476.83 , 203.77 
t1290," 2,102.28 ", 303.02 , 399.67 , 833.41 , 506.48 , 953.37 ," 12,061.46 "," 11,369.69 ", 398.40 , 233.63 , 476.45 , 203.29 
t1291," 2,111.29 ", 304.51 , 400.90 , 836.98 , 509.58 , 958.05 ," 12,113.20 "," 11,714.46 ", 399.34 , 234.77 , 477.88 , 204.05 
