hour,21,22,23,24,25,26,41,42,71,72,73,74,75,76,81,82,83,84
t0072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0081,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002
t0082,0.041,0.026,0.026,0.008,0.005,0.005,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.035,0.035,0.035,0.035
t0083,0.130,0.088,0.088,0.023,0.012,0.012,0.082,0.082,0.092,0.092,0.092,0.092,0.092,0.092,0.086,0.086,0.086,0.086
t0084,0.203,0.136,0.136,0.046,0.020,0.020,0.149,0.149,0.133,0.133,0.133,0.133,0.133,0.133,0.116,0.116,0.116,0.116
t0085,0.237,0.152,0.152,0.056,0.027,0.027,0.147,0.147,0.162,0.162,0.162,0.162,0.162,0.162,0.111,0.111,0.111,0.111
t0086,0.206,0.128,0.128,0.051,0.028,0.028,0.115,0.115,0.150,0.150,0.150,0.150,0.150,0.150,0.091,0.091,0.091,0.091
t0087,0.142,0.086,0.086,0.038,0.019,0.019,0.065,0.065,0.085,0.085,0.085,0.085,0.085,0.085,0.056,0.056,0.056,0.056
t0088,0.041,0.036,0.036,0.021,0.008,0.008,0.033,0.033,0.036,0.036,0.036,0.036,0.036,0.036,0.015,0.015,0.015,0.015
t0089,0.003,0.005,0.005,0.003,0.001,0.001,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
t0090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
