,nextBatch,powerBatch,production,shutDown,SOC,discharge,el_consumption,slag
26,-0.0,0.0,400.00000000000006,-0.0,75.00000000000017,1.0,400.00000000000006,0.0
27,0.0,0.0,400.00000000000006,-0.0,100.00000000000023,1.0,400.00000000000006,0.0
28,1.0,400.00000000000006,400.00000000000006,-0.0,125.00000000000028,1.0,400.00000000000006,0.0
29,0.0,0.0,400.00000000000006,-0.0,150.00000000000034,1.0,400.00000000000006,0.0
30,0.0,0.0,400.00000000000006,-0.0,175.0000000000004,1.0,400.00000000000006,0.0
31,0.0,0.0,400.00000000000006,-0.0,200.0000000000001,1.0,400.00000000000006,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
57,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
61,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
62,1.0,400.0,400.0,-0.0,25.0,1.0,400.0,0.0
63,-0.0,0.0,400.0,-0.0,50.0,1.0,400.0,0.0
64,-0.0,0.0,400.0,-0.0,75.0,1.0,400.0,0.0
65,-0.0,0.0,400.00000000000045,-0.0,100.00000000000045,1.0,400.00000000000045,0.0
